chr	beg	end	mid	qchr	qbeg	qend	id	gid	type
1	25000000	26000000	hs01	1	25748842	25748843	645	Zm00001d028180	cis
1	25000000	26000000	hs01	1	25771529	25771530	12382	Zm00001d049800	trans
1	25000000	26000000	hs01	1	25482525	25482526	6742	Zm00001d005140	trans
1	25000000	26000000	hs01	1	25721737	25721738	20784	Zm00001d038688	trans
1	25000000	26000000	hs01	1	25771529	25771530	15912	Zm00001d014138	trans
1	25000000	26000000	hs01	1	25771529	25771530	16924	Zm00001d015948	trans
1	25000000	26000000	hs01	1	25873138	25873139	677	Zm00001d028203	cis
1	25000000	26000000	hs01	1	25748842	25748843	655	Zm00001d028186	cis
1	25000000	26000000	hs01	1	25771529	25771530	23089	Zm00001d021871	trans
1	25000000	26000000	hs01	1	25771529	25771530	3874	Zm00001d033657	trans
1	25000000	26000000	hs01	1	25873138	25873139	10374	Zm00001d042872	trans
1	25000000	26000000	hs01	1	25771529	25771530	27447	Zm00001d046719	trans
1	25000000	26000000	hs01	1	25771529	25771530	28032	Zm00001d047679	trans
1	25000000	26000000	hs01	1	25771529	25771530	26597	Zm00001d045017	trans
1	25000000	26000000	hs01	1	25873138	25873139	16150	Zm00001d014581	trans
1	25000000	26000000	hs01	1	25873138	25873139	28785	Zm00001d023246	trans
1	25000000	26000000	hs01	1	25873138	25873139	30760	Zm00001d026691	trans
1	25000000	26000000	hs01	1	25873138	25873139	664	Zm00001d028191	cis
1	25000000	26000000	hs01	1	25873138	25873139	15457	Zm00001d013494	trans
1	25000000	26000000	hs01	1	25873138	25873139	666	Zm00001d028194	cis
1	25000000	26000000	hs01	1	25771529	25771530	5060	Zm00001d002058	trans
1	25000000	26000000	hs01	1	25873138	25873139	2142	Zm00001d030744	trans
1	25000000	26000000	hs01	1	25873138	25873139	23034	Zm00001d021799	trans
1	25000000	26000000	hs01	1	25482525	25482526	5677	Zm00001d002980	trans
1	25000000	26000000	hs01	1	25771529	25771530	7935	Zm00001d007139	trans
1	25000000	26000000	hs01	1	25771529	25771530	6371	Zm00001d004215	trans
1	25000000	26000000	hs01	1	25763038	25763039	673	Zm00001d028201	cis
1	25000000	26000000	hs01	1	25771529	25771530	592	Zm00001d028098	cis
1	25000000	26000000	hs01	1	25873138	25873139	1331	Zm00001d029123	trans
1	25000000	26000000	hs01	1	25141712	25141713	635	Zm00001d028164	cis
1	25000000	26000000	hs01	1	25873138	25873139	27245	Zm00001d046348	trans
1	25000000	26000000	hs01	1	25771529	25771530	7350	Zm00001d006291	trans
1	25000000	26000000	hs01	1	25873138	25873139	12326	Zm00001d049717	trans
1	25000000	26000000	hs01	1	25873138	25873139	691	Zm00001d028214	cis
1	25000000	26000000	hs01	1	25482525	25482526	9246	Zm00001d040689	trans
1	25000000	26000000	hs01	1	25873138	25873139	30178	Zm00001d025941	trans
1	25000000	26000000	hs01	1	25873138	25873139	30162	Zm00001d025921	trans
1	25000000	26000000	hs01	1	25873138	25873139	13534	Zm00001d052107	trans
1	25000000	26000000	hs01	1	25721737	25721738	25051	Zm00001d010639	trans
1	25000000	26000000	hs01	1	25141712	25141713	21613	Zm00001d019215	trans
1	25000000	26000000	hs01	1	25873138	25873139	18659	Zm00001d035044	trans
1	25000000	26000000	hs01	1	25873138	25873139	18956	Zm00001d035721	trans
1	25000000	26000000	hs01	1	25873138	25873139	2122	Zm00001d030697	trans
1	25000000	26000000	hs01	1	25721737	25721738	15161	Zm00001d013092	trans
1	25000000	26000000	hs01	1	25771529	25771530	6207	Zm00001d003836	trans
1	25000000	26000000	hs01	1	25873138	25873139	13788	Zm00001d052462	trans
1	25000000	26000000	hs01	1	25873138	25873139	12291	Zm00001d049657	trans
1	25000000	26000000	hs01	1	25873138	25873139	680	Zm00001d028205	cis
1	25000000	26000000	hs01	1	25873138	25873139	29643	Zm00001d024934	trans
1	25000000	26000000	hs01	1	25873138	25873139	30001	Zm00001d025673	trans
1	25000000	26000000	hs01	1	25771529	25771530	18569	Zm00001d018515	trans
1	25000000	26000000	hs01	1	25718954	25718955	13232	Zm00001d051633	trans
1	25000000	26000000	hs01	1	25482525	25482526	19066	Zm00001d035974	trans
1	25000000	26000000	hs01	1	25771529	25771530	18691	Zm00001d035088	trans
1	25000000	26000000	hs01	1	25141712	25141713	678	Zm00001d028204	cis
1	25000000	26000000	hs01	1	25873138	25873139	26490	Zm00001d044780	trans
1	25000000	26000000	hs01	1	25482525	25482526	638	Zm00001d028169	cis
1	25000000	26000000	hs01	1	25771529	25771530	4864	Zm00001d001809	trans
1	32000000	33000000	hs02	1	32295984	32295985	804	Zm00001d028386	cis
1	32000000	33000000	hs02	1	32295984	32295985	30711	Zm00001d026651	trans
1	32000000	33000000	hs02	1	32311054	32311055	26351	Zm00001d012654	trans
1	32000000	33000000	hs02	1	32325117	32325118	24035	Zm00001d008737	trans
1	32000000	33000000	hs02	1	32311054	32311055	10081	Zm00001d042438	trans
1	32000000	33000000	hs02	1	32311054	32311055	18313	Zm00001d018260	trans
1	32000000	33000000	hs02	1	32325117	32325118	16346	Zm00001d014816	trans
1	32000000	33000000	hs02	1	32325117	32325118	15583	Zm00001d013644	trans
1	32000000	33000000	hs02	1	32325117	32325118	5214	Zm00001d002278	trans
1	32000000	33000000	hs02	1	32295984	32295985	787	Zm00001d028367	cis
1	32000000	33000000	hs02	1	32070959	32070960	13910	Zm00001d052690	trans
1	32000000	33000000	hs02	1	32295984	32295985	16227	Zm00001d014690	trans
1	32000000	33000000	hs02	1	32325117	32325118	5793	Zm00001d003161	trans
1	32000000	33000000	hs02	1	32311054	32311055	20610	Zm00001d038510	trans
1	32000000	33000000	hs02	1	32311054	32311055	6310	Zm00001d004036	trans
1	32000000	33000000	hs02	1	32325117	32325118	803	Zm00001d028385	cis
1	32000000	33000000	hs02	1	32460476	32460477	15638	Zm00001d013720	trans
1	32000000	33000000	hs02	1	32325117	32325118	5639	Zm00001d002919	trans
1	32000000	33000000	hs02	1	32070959	32070960	762	Zm00001d028325	cis
1	32000000	33000000	hs02	1	32311054	32311055	9657	Zm00001d041714	trans
1	32000000	33000000	hs02	1	32192035	32192036	13527	Zm00001d052081	trans
1	32000000	33000000	hs02	1	32311054	32311055	25729	Zm00001d011769	trans
1	32000000	33000000	hs02	1	32311054	32311055	21355	Zm00001d018781	trans
1	32000000	33000000	hs02	1	32295984	32295985	4955	Zm00001d001937	trans
1	32000000	33000000	hs02	1	32325117	32325118	19653	Zm00001d037167	trans
1	32000000	33000000	hs02	1	32295984	32295985	25190	Zm00001d010884	trans
1	32000000	33000000	hs02	1	32325117	32325118	20794	Zm00001d038699	trans
1	32000000	33000000	hs02	1	32070959	32070960	30039	Zm00001d025740	trans
1	32000000	33000000	hs02	1	32295984	32295985	28653	Zm00001d048463	trans
1	32000000	33000000	hs02	1	32325117	32325118	17008	Zm00001d016134	trans
1	32000000	33000000	hs02	1	32325117	32325118	10493	Zm00001d043087	trans
1	32000000	33000000	hs02	1	32295984	32295985	790	Zm00001d028368	cis
1	32000000	33000000	hs02	1	32325117	32325118	25730	Zm00001d011771	trans
1	32000000	33000000	hs02	1	32311054	32311055	752	Zm00001d028307	cis
1	32000000	33000000	hs02	1	32325117	32325118	189	Zm00001d027488	trans
1	32000000	33000000	hs02	1	32311054	32311055	29658	Zm00001d024952	trans
1	32000000	33000000	hs02	1	32325117	32325118	806	Zm00001d028388	cis
1	32000000	33000000	hs02	1	32325117	32325118	801	Zm00001d028384	cis
1	32000000	33000000	hs02	1	32325117	32325118	25808	Zm00001d011879	trans
1	32000000	33000000	hs02	1	32192035	32192036	11504	Zm00001d044461	trans
1	32000000	33000000	hs02	1	32192035	32192036	814	Zm00001d028397	cis
1	32000000	33000000	hs02	1	32192035	32192036	2149	Zm00001d030762	trans
1	32000000	33000000	hs02	1	32192035	32192036	785	Zm00001d028365	cis
1	32000000	33000000	hs02	1	32325117	32325118	13746	Zm00001d052385	trans
1	32000000	33000000	hs02	1	32070959	32070960	22632	Zm00001d021283	trans
1	32000000	33000000	hs02	1	32325117	32325118	12380	Zm00001d049786	trans
1	32000000	33000000	hs02	1	32460476	32460477	28369	Zm00001d048098	trans
1	32000000	33000000	hs02	1	32460476	32460477	19692	Zm00001d037180	trans
1	32000000	33000000	hs02	1	32325117	32325118	14669	Zm00001d053873	trans
1	32000000	33000000	hs02	1	32460476	32460477	6610	Zm00001d004889	trans
1	32000000	33000000	hs02	1	32460476	32460477	16980	Zm00001d016060	trans
1	32000000	33000000	hs02	1	32460476	32460477	26354	Zm00001d012655	trans
1	32000000	33000000	hs02	1	32460476	32460477	26500	Zm00001d044814	trans
1	32000000	33000000	hs02	1	32070959	32070960	17481	Zm00001d017042	trans
1	32000000	33000000	hs02	1	32192035	32192036	22607	Zm00001d021243	trans
1	32000000	33000000	hs02	1	32070959	32070960	29382	Zm00001d024420	trans
1	32000000	33000000	hs02	1	32192035	32192036	26218	Zm00001d012474	trans
1	32000000	33000000	hs02	1	32192035	32192036	7178	Zm00001d006030	trans
1	32000000	33000000	hs02	1	32192035	32192036	30757	Zm00001d026690	trans
1	32000000	33000000	hs02	1	32192035	32192036	18817	Zm00001d035440	trans
1	34000000	35000000	hs03	1	34142398	34142399	10607	Zm00001d043204	trans
1	34000000	35000000	hs03	1	34142398	34142399	770	Zm00001d028332	cis
1	34000000	35000000	hs03	1	34169367	34169368	830	Zm00001d028416	cis
1	34000000	35000000	hs03	1	34088065	34088066	534	Zm00001d027996	trans
1	34000000	35000000	hs03	1	34142398	34142399	10817	Zm00001d043462	trans
1	34000000	35000000	hs03	1	34142398	34142399	20323	Zm00001d038135	trans
1	34000000	35000000	hs03	1	34169367	34169368	849	Zm00001d028443	cis
1	34000000	35000000	hs03	1	34088065	34088066	1213	Zm00001d028967	trans
1	34000000	35000000	hs03	1	34142398	34142399	22914	Zm00001d021645	trans
1	34000000	35000000	hs03	1	34212442	34212443	7921	Zm00001d007118	trans
1	34000000	35000000	hs03	1	34142398	34142399	829	Zm00001d028414	cis
1	34000000	35000000	hs03	1	34169367	34169368	843	Zm00001d028429	cis
1	34000000	35000000	hs03	1	34088065	34088066	27382	Zm00001d046595	trans
1	34000000	35000000	hs03	1	34142398	34142399	9259	Zm00001d040712	trans
1	34000000	35000000	hs03	1	34142398	34142399	20442	Zm00001d038282	trans
1	34000000	35000000	hs03	1	34142398	34142399	13693	Zm00001d052321	trans
1	34000000	35000000	hs03	1	34088065	34088066	3117	Zm00001d032430	trans
1	34000000	35000000	hs03	1	34088065	34088066	8458	Zm00001d039301	trans
1	34000000	35000000	hs03	1	34142398	34142399	9058	Zm00001d040293	trans
1	34000000	35000000	hs03	1	34088065	34088066	27697	Zm00001d047110	trans
1	34000000	35000000	hs03	1	34088065	34088066	22000	Zm00001d020225	trans
1	34000000	35000000	hs03	1	34142398	34142399	27104	Zm00001d045893	trans
1	34000000	35000000	hs03	1	34142398	34142399	23122	Zm00001d021903	trans
1	34000000	35000000	hs03	1	34142398	34142399	847	Zm00001d028439	cis
1	34000000	35000000	hs03	1	34142398	34142399	7092	Zm00001d005874	trans
1	34000000	35000000	hs03	1	34142398	34142399	28866	Zm00001d023376	trans
1	34000000	35000000	hs03	1	34088065	34088066	26322	Zm00001d012611	trans
1	34000000	35000000	hs03	1	34088065	34088066	30106	Zm00001d025825	trans
1	34000000	35000000	hs03	1	34088065	34088066	17319	Zm00001d016765	trans
1	34000000	35000000	hs03	1	34142398	34142399	16723	Zm00001d015435	trans
1	34000000	35000000	hs03	1	34088065	34088066	12831	Zm00001d050914	trans
1	34000000	35000000	hs03	1	34212442	34212443	1002	Zm00001d028685	cis
1	34000000	35000000	hs03	1	34142398	34142399	24071	Zm00001d008800	trans
1	34000000	35000000	hs03	1	34088065	34088066	17279	Zm00001d016694	trans
1	34000000	35000000	hs03	1	34088065	34088066	4031	Zm00001d033912	trans
1	34000000	35000000	hs03	1	34088065	34088066	23815	Zm00001d008377	trans
1	34000000	35000000	hs03	1	34212442	34212443	24126	Zm00001d008898	trans
1	34000000	35000000	hs03	1	34088065	34088066	25712	Zm00001d011742	trans
1	34000000	35000000	hs03	1	34088065	34088066	29692	Zm00001d025034	trans
1	34000000	35000000	hs03	1	34088065	34088066	19040	Zm00001d035913	trans
1	105000000	106000000	hs04	1	105946330	105946331	13946	Zm00001d052738	trans
1	105000000	106000000	hs04	1	105946330	105946331	8443	Zm00001d039280	trans
1	105000000	106000000	hs04	1	105946330	105946331	19741	Zm00001d037273	trans
1	105000000	106000000	hs04	1	105946330	105946331	4275	Zm00001d034250	trans
1	105000000	106000000	hs04	1	105946330	105946331	15191	Zm00001d013128	trans
1	105000000	106000000	hs04	1	105946330	105946331	9257	Zm00001d040705	trans
1	105000000	106000000	hs04	1	105946330	105946331	19766	Zm00001d037307	trans
1	105000000	106000000	hs04	1	105946330	105946331	21469	Zm00001d018931	trans
1	105000000	106000000	hs04	1	105946330	105946331	19953	Zm00001d037582	trans
1	105000000	106000000	hs04	1	105751157	105751158	1641	Zm00001d029673	trans
1	105000000	106000000	hs04	1	105946330	105946331	29197	Zm00001d023987	trans
1	105000000	106000000	hs04	1	105751157	105751158	1885	Zm00001d030129	cis
1	105000000	106000000	hs04	1	105946330	105946331	9316	Zm00001d044069	trans
1	105000000	106000000	hs04	1	105751157	105751158	5632	Zm00001d002893	trans
1	105000000	106000000	hs04	1	105751157	105751158	25685	Zm00001d011692	trans
1	105000000	106000000	hs04	1	105751157	105751158	30005	Zm00001d025687	trans
1	105000000	106000000	hs04	1	105946330	105946331	29453	Zm00001d024540	trans
1	105000000	106000000	hs04	1	105946330	105946331	22730	Zm00001d021396	trans
1	105000000	106000000	hs04	1	105751157	105751158	1883	Zm00001d030127	cis
1	105000000	106000000	hs04	1	105946330	105946331	1850	Zm00001d030069	cis
1	105000000	106000000	hs04	1	105946330	105946331	25794	Zm00001d011850	trans
1	105000000	106000000	hs04	1	105751157	105751158	21930	Zm00001d020037	trans
1	105000000	106000000	hs04	1	105946330	105946331	15167	Zm00001d013095	trans
1	105000000	106000000	hs04	1	105751157	105751158	1864	Zm00001d030091	cis
1	105000000	106000000	hs04	1	105751157	105751158	22808	Zm00001d021491	trans
1	105000000	106000000	hs04	1	105946330	105946331	6889	Zm00001d005472	trans
1	105000000	106000000	hs04	1	105751157	105751158	1867	Zm00001d030101	cis
1	105000000	106000000	hs04	1	105751157	105751158	1912	Zm00001d030166	cis
1	105000000	106000000	hs04	1	105946330	105946331	5223	Zm00001d002292	trans
1	105000000	106000000	hs04	1	105946330	105946331	2165	Zm00001d000147	trans
1	105000000	106000000	hs04	1	105751157	105751158	1887	Zm00001d030130	cis
1	105000000	106000000	hs04	1	105946330	105946331	12506	Zm00001d050081	trans
1	105000000	106000000	hs04	1	105751157	105751158	9092	Zm00001d040344	trans
1	157000000	158000000	hs05	1	157119092	157119093	14367	Zm00001d053448	trans
1	157000000	158000000	hs05	1	157119092	157119093	23444	Zm00001d022347	trans
1	157000000	158000000	hs05	1	157119905	157119906	458	Zm00001d027880	trans
1	157000000	158000000	hs05	1	157119092	157119093	21828	Zm00001d019680	trans
1	157000000	158000000	hs05	1	157122462	157122463	2125	Zm00001d030701	cis
1	157000000	158000000	hs05	1	157119905	157119906	19982	Zm00001d037624	trans
1	157000000	158000000	hs05	1	157119092	157119093	10264	Zm00001d042686	trans
1	157000000	158000000	hs05	1	157119092	157119093	9291	Zm00001d040783	trans
1	157000000	158000000	hs05	1	157122462	157122463	2100	Zm00001d030659	cis
1	157000000	158000000	hs05	1	157122462	157122463	2170	Zm00001d030791	cis
1	157000000	158000000	hs05	1	157122462	157122463	2076	Zm00001d030612	cis
1	157000000	158000000	hs05	1	157122462	157122463	2092	Zm00001d030640	cis
1	157000000	158000000	hs05	1	157122462	157122463	13113	Zm00001d051479	trans
1	157000000	158000000	hs05	1	157122462	157122463	2139	Zm00001d030742	cis
1	157000000	158000000	hs05	1	157122462	157122463	2081	Zm00001d030617	cis
1	157000000	158000000	hs05	1	157122462	157122463	2060	Zm00001d030584	trans
1	157000000	158000000	hs05	1	157122462	157122463	1977	Zm00001d030345	trans
1	157000000	158000000	hs05	1	157119905	157119906	8709	Zm00001d039654	trans
1	179000000	180000000	hs06	1	179809229	179809230	16173	Zm00001d014609	trans
1	179000000	180000000	hs06	1	179375328	179375329	21308	Zm00001d018708	trans
1	179000000	180000000	hs06	1	179809229	179809230	15045	Zm00001d012982	trans
1	179000000	180000000	hs06	1	179809229	179809230	20533	Zm00001d038374	trans
1	179000000	180000000	hs06	1	179809229	179809230	9616	Zm00001d041635	trans
1	179000000	180000000	hs06	1	179809095	179809096	26811	Zm00001d045335	trans
1	179000000	180000000	hs06	1	179809229	179809230	26636	Zm00001d045069	trans
1	179000000	180000000	hs06	1	179375328	179375329	21996	Zm00001d020219	trans
1	179000000	180000000	hs06	1	179375328	179375329	5233	Zm00001d002315	trans
1	179000000	180000000	hs06	1	179809095	179809096	2343	Zm00001d031131	cis
1	179000000	180000000	hs06	1	179809095	179809096	29432	Zm00001d024521	trans
1	179000000	180000000	hs06	1	179809095	179809096	5353	Zm00001d000443	trans
1	179000000	180000000	hs06	1	179809095	179809096	14005	Zm00001d052810	trans
1	179000000	180000000	hs06	1	179809229	179809230	8871	Zm00001d039931	trans
1	179000000	180000000	hs06	1	179809095	179809096	30171	Zm00001d025932	trans
1	179000000	180000000	hs06	1	179809229	179809230	16596	Zm00001d015231	trans
1	179000000	180000000	hs06	1	179375328	179375329	10600	Zm00001d043197	trans
1	179000000	180000000	hs06	1	179375328	179375329	2346	Zm00001d031136	cis
1	179000000	180000000	hs06	1	179375328	179375329	27334	Zm00001d000408	trans
1	179000000	180000000	hs06	1	179375328	179375329	14466	Zm00001d053634	trans
1	179000000	180000000	hs06	1	179809229	179809230	6295	Zm00001d004009	trans
1	179000000	180000000	hs06	1	179809229	179809230	21060	Zm00001d038999	trans
1	179000000	180000000	hs06	1	179809095	179809096	28568	Zm00001d048355	trans
1	179000000	180000000	hs06	1	179375328	179375329	28791	Zm00001d023263	trans
1	179000000	180000000	hs06	1	179809229	179809230	30058	Zm00001d025763	trans
1	179000000	180000000	hs06	1	179809095	179809096	9208	Zm00001d040599	trans
1	179000000	180000000	hs06	1	179809229	179809230	19345	Zm00001d036573	trans
1	179000000	180000000	hs06	1	179809095	179809096	20109	Zm00001d037806	trans
1	179000000	180000000	hs06	1	179809229	179809230	11844	Zm00001d048823	trans
1	179000000	180000000	hs06	1	179809229	179809230	29939	Zm00001d025567	trans
1	179000000	180000000	hs06	1	179809229	179809230	19137	Zm00001d036137	trans
1	179000000	180000000	hs06	1	179375328	179375329	22037	Zm00001d020309	trans
1	179000000	180000000	hs06	1	179375328	179375329	10489	Zm00001d043086	trans
1	179000000	180000000	hs06	1	179809229	179809230	18797	Zm00001d035312	trans
1	179000000	180000000	hs06	1	179809229	179809230	2350	Zm00001d031134	cis
1	204000000	205000000	hs07	1	204146678	204146679	7462	Zm00001d006439	trans
1	204000000	205000000	hs07	1	204140920	204140921	24683	Zm00001d009965	trans
1	204000000	205000000	hs07	1	204135513	204135514	20755	Zm00001d038667	trans
1	204000000	205000000	hs07	1	204135513	204135514	13479	Zm00001d052021	trans
1	204000000	205000000	hs07	1	204146678	204146679	7195	Zm00001d006057	trans
1	204000000	205000000	hs07	1	204819880	204819881	16806	Zm00001d015612	trans
1	204000000	205000000	hs07	1	204140920	204140921	7533	Zm00001d006510	trans
1	204000000	205000000	hs07	1	204135513	204135514	30736	Zm00001d026671	trans
1	204000000	205000000	hs07	1	204135513	204135514	2754	Zm00001d031852	cis
1	204000000	205000000	hs07	1	204135513	204135514	30503	Zm00001d026370	trans
1	204000000	205000000	hs07	1	204951796	204951797	2780	Zm00001d031892	cis
1	204000000	205000000	hs07	1	204140920	204140921	7038	Zm00001d005763	trans
1	204000000	205000000	hs07	1	204135513	204135514	8833	Zm00001d039865	trans
1	204000000	205000000	hs07	1	204819880	204819881	2758	Zm00001d031855	cis
1	204000000	205000000	hs07	1	204951796	204951797	11681	Zm00001d044702	trans
1	204000000	205000000	hs07	1	204951796	204951797	15341	Zm00001d013335	trans
1	204000000	205000000	hs07	1	204140920	204140921	2769	Zm00001d031866	cis
1	204000000	205000000	hs07	1	204819880	204819881	2547	Zm00001d031496	trans
1	204000000	205000000	hs07	1	204135513	204135514	20618	Zm00001d038522	trans
1	204000000	205000000	hs07	1	204146678	204146679	25975	Zm00001d012127	trans
1	204000000	205000000	hs07	1	204146678	204146679	12518	Zm00001d050104	trans
1	204000000	205000000	hs07	1	204140920	204140921	25240	Zm00001d010972	trans
1	204000000	205000000	hs07	1	204819880	204819881	2770	Zm00001d031867	cis
1	204000000	205000000	hs07	1	204951796	204951797	2774	Zm00001d031873	cis
1	204000000	205000000	hs07	1	204819880	204819881	6538	Zm00001d004739	trans
1	204000000	205000000	hs07	1	204951796	204951797	7109	Zm00001d005912	trans
1	204000000	205000000	hs07	1	204819880	204819881	2728	Zm00001d031816	cis
1	204000000	205000000	hs07	1	204146678	204146679	8863	Zm00001d039914	trans
1	204000000	205000000	hs07	1	204135513	204135514	17610	Zm00001d017199	trans
1	204000000	205000000	hs07	1	204435254	204435255	27599	Zm00001d046972	trans
1	204000000	205000000	hs07	1	204819880	204819881	9946	Zm00001d042233	trans
1	204000000	205000000	hs07	1	204135513	204135514	22172	Zm00001d020532	trans
1	204000000	205000000	hs07	1	204819880	204819881	16267	Zm00001d014742	trans
1	204000000	205000000	hs07	1	204135513	204135514	18032	Zm00001d017862	trans
1	204000000	205000000	hs07	1	204819880	204819881	24579	Zm00001d009773	trans
1	204000000	205000000	hs07	1	204819880	204819881	27134	Zm00001d045965	trans
1	204000000	205000000	hs07	1	204819880	204819881	29287	Zm00001d000021	trans
1	204000000	205000000	hs07	1	204857758	204857759	2773	Zm00001d031870	cis
1	204000000	205000000	hs07	1	204819880	204819881	7862	Zm00001d007059	trans
1	204000000	205000000	hs07	1	204497542	204497543	2752	Zm00001d031851	cis
1	204000000	205000000	hs07	1	204146678	204146679	2751	Zm00001d031850	cis
1	204000000	205000000	hs07	1	204146678	204146679	27238	Zm00001d046336	trans
1	204000000	205000000	hs07	1	204819880	204819881	13741	Zm00001d052380	trans
1	204000000	205000000	hs07	1	204819880	204819881	2755	Zm00001d031853	cis
1	204000000	205000000	hs07	1	204146678	204146679	2757	Zm00001d031854	cis
1	204000000	205000000	hs07	1	204857758	204857759	15022	Zm00001d012966	trans
1	204000000	205000000	hs07	1	204146678	204146679	11739	Zm00001d048621	trans
1	276000000	277000000	hs08	1	276196395	276196396	28496	Zm00001d048272	trans
1	276000000	277000000	hs08	1	276196395	276196396	28711	Zm00001d048526	trans
1	276000000	277000000	hs08	1	276451461	276451462	23846	Zm00001d008411	trans
1	276000000	277000000	hs08	1	276196395	276196396	3988	Zm00001d033854	cis
1	276000000	277000000	hs08	1	276196395	276196396	9965	Zm00001d042272	trans
1	276000000	277000000	hs08	1	276196395	276196396	9219	Zm00001d040617	trans
1	276000000	277000000	hs08	1	276196395	276196396	3974	Zm00001d033839	cis
1	276000000	277000000	hs08	1	276451461	276451462	3495	Zm00001d033058	trans
1	276000000	277000000	hs08	1	276451461	276451462	3300	Zm00001d032708	trans
1	276000000	277000000	hs08	1	276196395	276196396	3985	Zm00001d033850	cis
1	276000000	277000000	hs08	1	276196395	276196396	12254	Zm00001d049615	trans
1	276000000	277000000	hs08	1	276451461	276451462	27467	Zm00001d046788	trans
1	276000000	277000000	hs08	1	276451461	276451462	4026	Zm00001d033905	cis
1	276000000	277000000	hs08	1	276612366	276612367	3997	Zm00001d033866	cis
1	276000000	277000000	hs08	1	276196395	276196396	3973	Zm00001d033837	cis
1	276000000	277000000	hs08	1	276612366	276612367	28659	Zm00001d048470	trans
1	276000000	277000000	hs08	1	276196395	276196396	3976	Zm00001d033840	cis
1	276000000	277000000	hs08	1	276612366	276612367	3999	Zm00001d033869	cis
1	276000000	277000000	hs08	1	276451461	276451462	3936	Zm00001d033776	cis
