id	gid	gchr.g	gpos.g	gchr.p	gpos.p	qchr.g	marker	qpos.g	qleft.g	qright.g	qchr.p	qpos.p	LOD	ADD	Rsqure	type
54	GRMZM2G041881	1	6.1 	1	2802529 	2	95	137.5 	130.6 	144.3 	2	6006426	4.64 	1.41 	0.07 	trans
55	GRMZM2G041881	1	6.1 	1	2802529 	4	283	368.9 	361.4 	370.2 	4	42393609	4.61 	-1.91 	0.07 	trans
56	GRMZM5G802392	1	7.0 	1	2841927 	1	14	8.4 	4.8 	9.6 	1	2856423	13.13 	-2.92 	0.34 	cis
57	GRMZM2G006673	1	7.5 	1	2865105 	1	14	8.4 	5.8 	9.6 	1	2856423	52.74 	-3.35 	0.76 	cis
58	GRMZM2G015384	1	8.0 	1	2886314 	3	79	143.5 	138.2 	154.4 	3	5096140	5.27 	1.20 	0.16 	trans
59	GRMZM2G137366	1	9.2 	1	2939685 	2	563	749.7 	746.0 	754.7 	2	204695728	6.72 	0.45 	0.19 	trans
60	GRMZM2G137352	1	9.6 	1	2957492 	8	293	371.3 	369.3 	372.1 	8	75622307	9.38 	-4.94 	0.37 	trans
61	GRMZM2G137329	1	10.5 	1	3000523 	1	137	125.1 	123.1 	127.1 	1	10618984	6.86 	1.20 	0.39 	cis
62	GRMZM2G137236	1	10.9 	1	3018868 	1	19	12.1 	8.4 	12.6 	1	2999148	5.74 	0.57 	0.16 	cis
63	GRMZM2G137236	1	10.9 	1	3018868 	4	521	666.0 	662.0 	671.5 	4	180565472	6.09 	-0.57 	0.17 	trans
64	GRMZM2G314660	1	12.1 	1	3080024 	1	19	12.1 	5.8 	14.7 	1	2999148	5.21 	0.30 	0.14 	cis
65	GRMZM2G092232	1	13.1 	1	3133452 	1	2	0.0 	0.0 	6.4 	1	502652	4.59 	1.41 	0.14 	cis
66	GRMZM2G092232	1	13.1 	1	3133452 	10	538	651.3 	651.2 	658.9 	10	146984792	4.89 	-1.67 	0.14 	trans
67	GRMZM2G393062	1	13.4 	1	3137355 	6	482	592.4 	590.0 	596.8 	6	161649450	5.60 	-0.08 	0.16 	trans
68	GRMZM2G092165	1	13.5 	1	3139007 	1	24	14.1 	13.1 	15.4 	1	3166966	9.51 	-0.64 	0.27 	cis
69	GRMZM2G092165	1	13.5 	1	3139007 	10	581	732.4 	726.0 	738.1 	10	148816340	5.95 	0.49 	0.16 	trans
70	GRMZM2G124550	1	14.6 	1	3181436 	1	24	14.1 	13.1 	15.0 	1	3166966	61.59 	-6.93 	0.92 	cis
71	GRMZM2G124550	1	14.6 	1	3181436 	10	534	643.6 	638.4 	649.5 	10	146471280	5.03 	-1.26 	0.02 	trans
72	GRMZM2G144101	1	15.9 	1	3200199 	1	24	14.1 	13.1 	15.4 	1	3166966	20.75 	6.58 	0.51 	cis
73	GRMZM2G077669	1	16.3 	1	3274380 	1	27	15.4 	15.0 	19.3 	1	3279990	11.14 	2.25 	0.30 	cis
74	GRMZM2G077669	1	16.3 	1	3274380 	8	312	381.0 	378.5 	383.8 	8	96174297	4.48 	1.36 	0.10 	trans
75	GRMZM2G077780	1	16.3 	1	3284235 	4	654	775.7 	770.2 	776.7 	4	228328669	7.68 	0.80 	0.22 	trans
76	GRMZM2G126199	1	18.8 	1	3355879 	5	593	720.7 	712.0 	722.9 	5	195463228	7.38 	-0.11 	0.20 	trans
77	GRMZM2G126218	1	19.0 	1	3362065 	1	32	19.5 	16.3 	24.2 	1	3347977	7.51 	-0.29 	0.22 	cis
78	GRMZM2G426802	1	19.2 	1	3366684 	7	423	507.0 	500.4 	512.5 	7	157151829	4.19 	-0.18 	0.13 	trans
79	GRMZM2G440537	1	20.6 	1	3407470 	1	27	15.4 	15.0 	18.3 	1	3279990	23.05 	-0.37 	0.47 	cis
80	GRMZM2G440537	1	20.6 	1	3407470 	4	733	866.1 	865.2 	867.1 	4	237522918	4.93 	-0.30 	0.06 	trans
81	GRMZM2G440562	1	20.7 	1	3408427 	1	31	17.3 	15.0 	20.5 	1	3240218	28.90 	0.66 	0.62 	cis
82	GRMZM2G440562	1	20.7 	1	3408427 	8	298	372.1 	366.1 	375.0 	8	75817356	4.25 	0.18 	0.05 	trans
83	GRMZM2G055698	1	22.5 	1	3469632 	1	37	26.3 	23.2 	26.4 	1	3683623	7.41 	0.73 	0.22 	cis
84	GRMZM2G062210	1	24.4 	1	3559497 	1	802	820.1 	818.6 	825.9 	1	210476020	5.27 	-0.75 	0.17 	trans
85	GRMZM2G044388	1	26.2 	1	3647165 	1	32	19.5 	16.3 	22.1 	1	3347977	11.18 	-0.43 	0.32 	cis
86	GRMZM2G044388	1	26.2 	1	3647165 	6	93	149.9 	142.6 	157.3 	6	88911146	4.66 	-0.26 	0.11 	trans
87	GRMZM2G044247	1	26.2 	1	3650401 	1	43	31.5 	30.3 	32.1 	1	4047562	4.91 	-0.12 	0.16 	cis
88	GRMZM2G088482	1	26.6 	1	3666016 	3	11	7.7 	6.2 	9.7 	3	1698694	4.30 	2.34 	0.21 	trans
89	GRMZM2G029824	1	27.8 	1	3709362 	1	42	30.3 	27.3 	31.5 	1	3811937	12.69 	0.72 	0.35 	cis
90	GRMZM2G320099	1	27.9 	1	3711808 	1	40	28.1 	23.2 	31.3 	1	3718486	11.29 	0.67 	0.28 	cis
91	GRMZM2G320099	1	27.9 	1	3711808 	9	299	345.3 	341.2 	350.0 	9	107793937	5.22 	0.60 	0.11 	trans
92	GRMZM2G320099	1	27.9 	1	3711808 	5	585	698.4 	693.1 	704.4 	5	192289678	4.22 	-0.41 	0.09 	trans
93	GRMZM2G030299	1	29.3 	1	3732367 	1	459	470.7 	465.6 	473.4 	1	72012686	8.57 	-0.38 	0.23 	trans
94	GRMZM2G030567	1	29.4 	1	3740088 	1	45	32.1 	28.1 	33.1 	1	3965922	4.89 	-0.06 	0.16 	cis
95	GRMZM2G320117	1	29.4 	1	3745926 	4	356	415.0 	410.3 	420.0 	4	145732893	4.78 	-0.03 	0.14 	trans
96	GRMZM2G085909	1	30.2 	1	3832687 	7	470	566.1 	564.1 	572.1 	7	161620789	4.55 	1.31 	0.13 	trans
97	GRMZM2G008327	1	30.6 	1	3881251 	8	482	608.8 	604.2 	614.8 	8	162696050	6.66 	-0.70 	0.18 	trans
98	GRMZM2G008710	1	30.6 	1	3884889 	1	45	32.1 	26.3 	33.2 	1	3965922	6.96 	-0.34 	0.22 	cis
99	GRMZM2G008773	1	30.7 	1	3889959 	1	45	32.1 	29.3 	33.1 	1	3965922	11.25 	3.18 	0.28 	cis
100	GRMZM2G008773	1	30.7 	1	3889959 	4	391	448.7 	446.2 	450.0 	4	155834374	5.37 	-2.10 	0.12 	trans
101	GRMZM2G308570	1	30.8 	1	3899193 	1	37	25.3 	23.2 	28.1 	1	3683623	7.89 	-0.79 	0.12 	cis
102	GRMZM2G308570	1	30.8 	1	3899193 	3	342	469.0 	468.0 	469.6 	3	125958684	22.79 	-8.76 	0.56 	trans
103	GRMZM2G087207	1	31.8 	1	4020577 	1	45	32.1 	29.3 	33.1 	1	3965922	25.83 	-2.81 	0.62 	cis
104	GRMZM2G387837	1	31.8 	1	4024415 	1	45	32.1 	29.3 	33.1 	1	3965922	41.38 	0.88 	0.79 	cis
105	GRMZM2G387837	1	31.8 	1	4024415 	4	789	918.1 	911.2 	922.4 	4	239454161	4.69 	-0.18 	0.03 	trans
106	GRMZM2G013634	1	32.0 	1	4039363 	1	45	32.1 	29.3 	33.1 	1	3965922	100.02 	4.81 	0.95 	cis
107	GRMZM2G013634	1	32.0 	1	4039363 	3	311	442.8 	442.0 	451.5 	3	113211758	4.91 	0.27 	0.01 	trans
108	GRMZM2G312438	1	32.0 	1	4043271 	1	42	31.3 	30.3 	31.5 	1	3811937	49.57 	-1.01 	0.82 	cis
109	GRMZM2G013986	1	32.1 	1	4054139 	1	46	33.2 	32.1 	38.0 	1	4356469	15.01 	-4.26 	0.39 	cis
110	GRMZM2G013986	1	32.1 	1	4054139 	10	41	50.2 	44.2 	55.4 	10	4021874	4.75 	2.20 	0.10 	trans
111	GRMZM2G014382	1	32.7 	1	4065743 	1	47	35.1 	32.1 	38.0 	1	4058466	29.15 	-4.46 	0.59 	cis
112	GRMZM2G014382	1	32.7 	1	4065743 	4	77	109.1 	104.2 	109.3 	4	4619494	5.24 	-1.39 	0.06 	trans
113	GRMZM2G453794	1	39.2 	1	4186815 	1	53	40.9 	39.5 	46.8 	1	4446474	8.84 	-1.98 	0.26 	cis
114	GRMZM2G167568	1	38.3 	1	4211793 	5	83	139.9 	137.4 	140.4 	5	4323643	4.68 	-0.26 	0.14 	trans
115	GRMZM2G181153	1	37.3 	1	4241115 	4	145	203.3 	200.3 	207.3 	4	10225044	5.14 	21.74 	0.15 	trans
116	GRMZM2G406204	1	37.0 	1	4250328 	9	39	52.5 	51.6 	55.6 	9	4579649	6.42 	-0.18 	0.20 	trans
117	GRMZM2G169402	1	35.6 	1	4289246 	3	801	985.8 	982.0 	988.8 	3	218095868	5.52 	0.24 	0.15 	trans
118	GRMZM2G169402	1	35.6 	1	4289246 	1	1251	1303.4 	1296.3 	1305.4 	1	296848478	4.46 	-0.21 	0.12 	trans
119	GRMZM2G049031	1	34.8 	1	4309955 	6	603	709.0 	706.0 	709.0 	6	167492460	5.83 	-0.98 	0.19 	trans
120	GRMZM2G104468	1	33.2 	1	4356197 	4	505	651.3 	645.6 	657.5 	4	178757640	6.61 	0.42 	0.18 	trans
121	GRMZM2G303810	1	39.5 	1	4440405 	1	47	37.1 	34.1 	38.0 	1	4058466	56.45 	0.64 	0.71 	cis
122	GRMZM2G303810	1	39.5 	1	4440405 	8	528	654.3 	653.3 	657.3 	8	165791718	8.90 	0.39 	0.04 	trans
123	GRMZM2G136859	1	39.9 	1	4446405 	1	45	33.1 	29.1 	39.2 	1	3965922	17.41 	0.85 	0.41 	cis
124	GRMZM2G136859	1	39.9 	1	4446405 	2	132	196.2 	185.7 	200.2 	2	9944570	6.22 	-0.46 	0.11 	trans
125	GRMZM2G136859	1	39.9 	1	4446405 	10	340	374.5 	370.7 	379.7 	10	135093673	4.51 	0.39 	0.08 	trans
126	GRMZM2G082227	1	44.4 	1	4548509 	2	412	518.0 	516.6 	519.5 	2	151118902	6.82 	-0.08 	0.21 	trans
127	GRMZM2G341934	1	46.8 	1	4602862 	1	54	46.8 	39.5 	53.2 	1	4602628	4.92 	1.07 	0.13 	cis
128	GRMZM2G040762	1	46.9 	1	4610889 	1	70	64.1 	60.2 	66.4 	1	5038384	4.31 	-0.61 	0.13 	cis
129	GRMZM2G105415	1	48.6 	1	4718208 	1	56	48.6 	46.8 	52.7 	1	4719834	21.54 	0.31 	0.40 	cis
130	GRMZM2G105415	1	48.6 	1	4718208 	2	568	762.7 	757.7 	766.2 	2	204759106	9.70 	0.19 	0.15 	trans
131	GRMZM2G105415	1	48.6 	1	4718208 	5	357	472.8 	469.5 	474.7 	5	63483802	5.65 	-0.14 	0.07 	trans
132	GRMZM2G105436	1	49.7 	1	4723944 	1	54	46.8 	41.9 	52.7 	1	4602628	10.16 	0.18 	0.23 	cis
133	GRMZM2G105436	1	49.7 	1	4723944 	7	435	518.3 	511.6 	522.4 	7	157944002	5.88 	0.13 	0.12 	trans
134	GRMZM2G475289	1	55.6 	1	4749565 	2	342	464.6 	463.9 	468.2 	2	48261242	9.50 	-0.55 	0.26 	trans
135	GRMZM2G475296	1	56.1 	1	4752456 	2	390	502.1 	500.2 	510.6 	2	94430280	4.22 	-0.19 	0.17 	trans
136	GRMZM2G176820	1	57.3 	1	4759403 	1	63	57.9 	56.0 	58.4 	1	4877782	27.23 	1.06 	0.51 	cis
137	GRMZM2G176820	1	57.3 	1	4759403 	4	725	856.4 	848.6 	861.1 	4	236955384	12.45 	-0.62 	0.17 	trans
138	GRMZM2G176840	1	57.4 	1	4765835 	1	63	57.9 	55.6 	64.1 	1	4877782	7.13 	-0.47 	0.17 	cis
139	GRMZM2G176840	1	57.4 	1	4765835 	4	781	910.2 	906.8 	914.5 	4	239188678	4.85 	-0.38 	0.12 	trans
140	GRMZM2G026223	1	58.8 	1	4869836 	1	62	57.3 	55.6 	58.7 	1	4759622	16.72 	0.93 	0.41 	cis
141	GRMZM2G026223	1	58.8 	1	4869836 	9	274	320.6 	318.4 	328.2 	9	96289762	4.43 	-0.40 	0.08 	trans
142	GRMZM2G070047	1	60.4 	1	4982972 	1	60	56.0 	55.2 	57.3 	1	4752052	23.42 	-2.72 	0.51 	cis
143	GRMZM2G070047	1	60.4 	1	4982972 	3	20	20.1 	16.7 	24.0 	3	2144280	6.78 	1.98 	0.10 	trans
144	GRMZM2G070047	1	60.4 	1	4982972 	4	567	710.6 	704.0 	711.7 	4	189395032	4.80 	0.99 	0.07 	trans
145	GRMZM2G070259	1	60.5 	1	4993769 	1	69	61.6 	58.4 	64.1 	1	5000324	20.74 	0.98 	0.48 	cis
146	GRMZM2G159431	1	60.6 	1	5011733 	1	66	60.2 	58.4 	65.8 	1	4996300	8.14 	0.07 	0.21 	cis
147	GRMZM2G159470	1	60.6 	1	5030411 	2	322	436.2 	430.3 	439.8 	2	40545888	6.92 	-0.15 	0.20 	trans
148	GRMZM2G159477	1	65.8 	1	5046783 	10	544	663.2 	656.8 	669.6 	10	147200393	5.31 	0.17 	0.17 	trans
149	GRMZM2G165422	1	67.0 	1	5245923 	1	70	64.1 	61.6 	65.8 	1	5038384	28.29 	-0.75 	0.56 	cis
150	GRMZM2G165422	1	67.0 	1	5245923 	8	389	479.9 	474.9 	483.7 	8	123106280	6.52 	0.44 	0.09 	trans
151	GRMZM2G119736	1	71.7 	1	5326920 	1	71	65.8 	64.1 	66.4 	1	5046938	28.68 	-2.53 	0.61 	cis
152	GRMZM2G119736	1	71.7 	1	5326920 	5	336	451.2 	450.2 	454.8 	5	58527513	4.30 	-0.77 	0.05 	trans
153	GRMZM2G119494	1	72.8 	1	5346973 	1	72	66.4 	65.1 	70.0 	1	5317114	21.89 	-3.84 	0.54 	cis
154	GRMZM2G119471	1	72.9 	1	5348613 	4	735	867.1 	865.2 	870.6 	4	237688828	8.40 	-1.65 	0.21 	trans
155	GRMZM2G119471	1	72.9 	1	5348613 	5	648	778.3 	772.7 	783.2 	5	203400904	5.10 	-1.29 	0.12 	trans
156	GRMZM2G090051	1	74.8 	1	5381363 	6	442	546.1 	540.2 	552.4 	6	158282420	7.98 	0.12 	0.23 	trans
157	GRMZM2G089976	1	75.3 	1	5390420 	8	81	119.9 	116.2 	123.7 	8	5315517	5.39 	1.23 	0.07 	trans
158	GRMZM2G176604	1	76.1 	1	5409526 	1	91	82.4 	82.3 	82.9 	1	6541776	5.07 	0.04 	0.18 	cis
159	GRMZM2G176558	1	77.3 	1	5437154 	1	80	77.6 	76.2 	79.5 	1	5675778	14.07 	0.66 	0.32 	cis
160	GRMZM2G476107	1	77.3 	1	5447978 	1	95	84.7 	83.4 	90.8 	1	6923620	5.80 	0.09 	0.16 	cis
161	GRMZM2G176521	1	77.3 	1	5454976 	1	75	76.2 	72.0 	80.4 	1	5416012	9.41 	0.19 	0.26 	cis
162	GRMZM2G176521	1	77.3 	1	5454976 	3	84	156.4 	154.4 	157.3 	3	5307746	10.18 	-0.78 	0.26 	trans
163	GRMZM2G055737	1	77.3 	1	5518022 	1	75	76.2 	70.0 	77.3 	1	5416012	10.24 	0.12 	0.25 	cis
164	GRMZM2G055737	1	77.3 	1	5518022 	10	176	211.5 	205.1 	216.7 	10	68771504	4.30 	0.07 	0.09 	trans
165	GRMZM2G055704	1	77.3 	1	5531575 	1	75	76.2 	73.0 	77.3 	1	5416012	16.78 	-0.98 	0.43 	cis
166	GRMZM2G055575	1	77.3 	1	5540443 	1	73	74.0 	70.0 	75.9 	1	5244697	43.73 	-2.76 	0.87 	cis
167	GRMZM2G177508	1	77.3 	1	5589799 	4	77	109.1 	104.9 	109.3 	4	4619494	5.21 	-0.43 	0.16 	trans
168	GRMZM2G325462	1	77.3 	1	5629013 	1	80	77.6 	74.0 	78.5 	1	5675778	9.17 	0.09 	0.25 	cis
169	GRMZM2G325462	1	77.3 	1	5629013 	10	199	231.8 	226.2 	235.2 	10	85682834	4.74 	0.06 	0.12 	trans
170	GRMZM2G025552	1	77.3 	1	5632900 	1	80	77.6 	77.3 	78.5 	1	5675778	44.30 	2.75 	0.80 	cis
171	GRMZM2G025642	1	77.4 	1	5639289 	4	409	468.2 	467.3 	470.8 	4	159085915	4.65 	0.14 	0.15 	trans
172	GRMZM2G319022	1	78.5 	1	5730091 	1	82	78.5 	78.1 	79.5 	1	5730089	38.23 	-2.96 	0.60 	cis
173	GRMZM2G428184	1	78.6 	1	5746347 	4	299	378.5 	372.3 	383.4 	4	44955294	5.20 	-0.25 	0.14 	trans
174	GRMZM2G129243	1	78.6 	1	5750223 	1	86	80.4 	79.5 	81.4 	1	6034069	25.98 	1.16 	0.60 	cis
175	GRMZM2G371137	1	79.0 	1	5812196 	1	570	572.7 	566.2 	575.0 	1	163511950	4.48 	0.10 	0.13 	trans
176	GRMZM2G065718	1	79.9 	1	5953830 	1	84	79.5 	78.5 	81.4 	1	5783052	17.26 	2.00 	0.38 	cis
177	GRMZM2G057778	1	80.4 	1	6027402 	6	32	76.5 	70.6 	78.0 	6	6377850	4.92 	-0.05 	0.16 	trans
178	GRMZM2G448701	1	80.8 	1	6155714 	1	86	80.4 	79.5 	81.4 	1	6034069	49.22 	5.56 	0.77 	cis
179	GRMZM2G448651	1	80.8 	1	6159546 	1	91	82.4 	81.9 	84.4 	1	6541776	8.72 	0.47 	0.25 	cis
180	GRMZM2G143588	1	80.8 	1	6172844 	5	385	493.2 	491.2 	493.5 	5	81415453	7.31 	-1.39 	0.21 	trans
181	GRMZM2G143588	1	80.8 	1	6172844 	7	476	577.8 	571.1 	582.2 	7	161952012	4.95 	0.58 	0.13 	trans
182	GRMZM2G032852	1	80.9 	1	6196293 	2	245	372.9 	371.8 	377.2 	2	20530792	9.10 	1.23 	0.26 	trans
183	GRMZM2G032852	1	80.9 	1	6196293 	7	377	464.0 	460.5 	471.7 	7	151828563	4.27 	0.77 	0.11 	trans
184	GRMZM2G321041	1	81.9 	1	6217897 	4	537	683.5 	680.3 	688.7 	4	184675294	5.44 	0.46 	0.15 	trans
185	GRMZM2G321041	1	81.9 	1	6217897 	1	607	600.0 	594.7 	604.7 	1	179944198	4.65 	0.31 	0.13 	trans
186	GRMZM2G032409	1	81.9 	1	6222396 	1	90	82.3 	81.4 	82.4 	1	6225922	58.34 	7.48 	0.83 	cis
187	GRMZM2G014366	1	82.6 	1	6366398 	9	532	586.0 	585.5 	593.1 	9	147906736	5.06 	0.02 	0.15 	trans
188	GRMZM5G845611	1	82.8 	1	6411792 	2	46	67.5 	64.7 	69.6 	2	3562640	7.50 	-1.30 	0.20 	trans
189	GRMZM5G845611	1	82.8 	1	6411792 	1	287	281.2 	277.7 	285.6 	1	32052135	4.65 	1.05 	0.13 	trans
190	GRMZM5G887276	1	83.4 	1	6534288 	1	91	82.4 	81.9 	84.4 	1	6541776	26.84 	-1.64 	0.58 	cis
191	GRMZM2G137312	1	83.4 	1	6548821 	1	84	79.5 	78.1 	80.4 	1	5783052	20.98 	6.36 	0.53 	cis
192	GRMZM2G137374	1	83.5 	1	6569768 	1	91	82.4 	80.4 	84.7 	1	6541776	8.74 	-0.06 	0.22 	cis
193	GRMZM2G137374	1	83.5 	1	6569768 	2	832	1154.7 	1153.6 	1154.7 	2	236352764	4.21 	-0.04 	0.12 	trans
194	GRMZM2G392863	1	84.3 	1	6809456 	1	98	87.7 	86.5 	89.7 	1	6880330	24.65 	-1.87 	0.31 	cis
195	GRMZM2G092923	1	84.4 	1	6838772 	1	95	84.7 	83.4 	88.7 	1	6923620	47.21 	5.08 	0.78 	cis
196	GRMZM2G092923	1	84.4 	1	6838772 	10	206	236.2 	233.2 	237.0 	10	93027118	4.38 	-0.92 	0.03 	trans
197	GRMZM2G392956	1	84.4 	1	6846475 	1	94	84.4 	83.4 	84.7 	1	6534168	12.91 	0.88 	0.39 	cis
198	GRMZM2G392956	1	84.4 	1	6846475 	4	545	692.4 	685.7 	697.6 	4	185730228	5.05 	-0.42 	0.09 	trans
199	GRMZM2G089056	1	84.7 	1	6923291 	1	98	88.7 	86.7 	89.8 	1	6880330	12.80 	0.58 	0.35 	cis
