gid	Tissue	Genotype	ReadCount	CPM	FPKM
Zm00001d042315	leaf_blade_v12	B73	26	1.2575797303408198	5.904130189393521
Zm00001d042315	leaf_blade_v12	B73xMo17	66	3.0415333364606245	14.279499232209504
Zm00001d042315	leaf_blade_v12	Mo17	46	2.626215285966523	12.32964922988978
Zm00001d042315	leaf_flag_0DAP	B73	70	3.853033760900825	18.08936037981608
Zm00001d042315	leaf_flag_0DAP	B73xMo17	99	5.693771593445766	26.731322034956648
Zm00001d042315	leaf_flag_0DAP	Mo17	117	5.766473905273041	27.072647442596438
Zm00001d042315	leaf_seedling_11DAS	B73	2	0.12619721980041007	0.5924752103305637
Zm00001d042315	leaf_seedling_11DAS	B73xMo17	9	0.543651750296563	2.5523556351951315
Zm00001d042315	leaf_seedling_11DAS	Mo17	25	1.4197715734929346	6.665594241750867
Zm00001d042315	meristem_seedling_11DAS	B73	21	0.4497153495668715	2.1113396693280353
Zm00001d042315	meristem_seedling_11DAS	B73xMo17	47	1.0049422460700033	4.7180387139436775
Zm00001d042315	meristem_seedling_11DAS	Mo17	88	1.7249682312630228	8.098442400295882
Zm00001d042315	root_0DAP	B73	187	4.917345231007868	23.086127845107363
Zm00001d042315	root_0DAP	B73xMo17	169	4.426336685196745	20.78092340467955
Zm00001d042315	root_0DAP	Mo17	150	3.994637603418272	18.75416715219846
Zm00001d042315	root_radicle	B73	9	0.2882565855383546	1.35331730299697
Zm00001d042315	root_radicle	B73xMo17	19	0.5532862984859895	2.597588255802768
Zm00001d042315	root_radicle	Mo17	34	1.0430946918514001	4.897158177706104
Zm00001d042315	root_seedling_11DAS	B73	54	1.2827924238750517	6.022499642605877
Zm00001d042315	root_seedling_11DAS	B73xMo17	48	1.7041614794253694	8.000758119367932
Zm00001d042315	root_seedling_11DAS	Mo17	32	2.4355730689755215	11.434615347302918
Zm00001d042315	silk_0DAP	B73	147	5.395242449661894	25.329776758976028
Zm00001d042315	silk_0DAP	B73xMo17	205	6.286385496681912	29.51354693277893
Zm00001d042315	silk_0DAP	Mo17	149	5.841219354252804	27.423565043440394
Zm00001d042315	spikelet_0DAP	B73	155	3.5759084395462457	16.788302533080966
Zm00001d042315	spikelet_0DAP	B73xMo17	188	4.350611250129453	20.425404930185227
Zm00001d042315	spikelet_0DAP	Mo17	162	3.7436066937221044	17.575618280385466
Zm00001d042315	stem_auricle_v12	B73	64	2.2334804764197917	10.485823832956768
Zm00001d042315	stem_auricle_v12	B73xMo17	93	2.8941017982994914	13.58733238638259
Zm00001d042315	stem_auricle_v12	Mo17	63	1.8671858061677258	8.766130545388384
Zm00001d042315	stem_husk_0DAP	B73	131	3.927088250904038	18.437034041802995
Zm00001d042315	stem_husk_0DAP	B73xMo17	118	3.291086552039339	15.451110572954644
Zm00001d042315	stem_husk_0DAP	Mo17	129	3.7112567055014964	17.423740401415476
Zm00001d042315	stem_sheath_v12	B73	42	1.3767840336417172	6.463774805829658
Zm00001d042315	stem_sheath_v12	B73xMo17	53	1.8327443195531337	8.604433425132083
Zm00001d042315	stem_sheath_v12	Mo17	51	1.8025959176210056	8.462891632023501
Zm00001d042315	stem_tasselstem_0DAP	B73	123	3.7588734862672997	17.647293362757274
Zm00001d042315	stem_tasselstem_0DAP	B73xMo17	126	5.21371653680984	24.477542426337276
Zm00001d042315	stem_tasselstem_0DAP	Mo17	74	3.037897390079521	14.262429061406204
Zm00001d042315	tassel_v12	B73	152	3.952659054695967	18.557084763830833
Zm00001d042315	tassel_v12	B73xMo17	55	1.7294129542342545	8.119309644292274
Zm00001d042315	tassel_v12	Mo17	80	2.552990717998735	11.985871915487019
