gid	Tissue	Genotype	ReadCount	CPM	FPKM
Zm00001d042315	SAM	M0056	26	0.5134485242334246	2.4105564518001152
Zm00001d042315	SAM	M0057	140	2.9303501659177957	13.75751251604599
Zm00001d042315	SAM	M0058	113	2.1824297759218623	10.246149182731749
Zm00001d042315	SAM	M0060	145	2.529528813333993	11.875722128328606
Zm00001d042315	SAM	M0061	183	3.7162515394892743	17.447190326240726
Zm00001d042315	SAM	M0062	140	3.760972702676003	17.657148838854475
Zm00001d042315	SAM	M0063	242	4.158614427858068	19.524011398394688
Zm00001d042315	SAM	M0066	81	1.7308738736699012	8.126168420985453
Zm00001d042315	SAM	M0067	199	4.259902156046827	19.999540638717498
Zm00001d042315	SAM	M0074	159	3.1955143900398135	15.002414976712739
Zm00001d042315	SAM	M0008	289	4.367159560161067	20.503096526577778
Zm00001d042315	SAM	M0075	114	2.455324016755993	11.52734280167133
Zm00001d042315	SAM	M0077	27	0.6292444870205998	2.9541994695802805
Zm00001d042315	SAM	M0079	37	0.7370801511352247	3.460470193123121
Zm00001d042315	SAM	M0080	113	2.026055564916474	9.511997957354339
Zm00001d042315	SAM	M0099	130	2.979675428662626	13.989086519542846
Zm00001d042315	SAM	M0116	159	3.316210665000802	15.569064154933342
Zm00001d042315	SAM	M0141	64	0.9880428036607298	4.638698608735821
Zm00001d042315	SAM	M0176	32	0.5674775203944635	2.6642137107721293
Zm00001d042315	SAM	M0200	88	2.6754443450222105	12.560771572874229
Zm00001d042315	SAM	M0232	145	3.143008520654572	14.755908547674046
Zm00001d042315	SAM	M0010	45	0.9413170079015303	4.419328675594039
Zm00001d042315	SAM	M0248	178	3.615191394848928	16.972729553281354
Zm00001d042315	SAM	M0262	170	3.456692966643902	16.22860547720142
Zm00001d042315	SAM	M0264	49	1.0889323009145058	5.112358220255896
Zm00001d042315	SAM	M0265	194	3.9904891262384083	18.734690733513656
Zm00001d042315	SAM	M0266	112	2.6970347638378986	12.662135041492482
Zm00001d042315	SAM	M0267	39	0.9376117199360429	4.401932957446211
Zm00001d042315	SAM	M0269	93	1.6071039655576673	7.545089040176842
Zm00001d042315	SAM	M0270	120	2.2364279543787102	10.499661757646527
Zm00001d042315	SAM	M0272	174	3.1966820140011856	15.00789677934829
Zm00001d042315	SAM	M0275	152	2.985966675914344	14.018622891616639
Zm00001d042315	SAM	M0012	125	2.6969610055961084	12.661788758667177
Zm00001d042315	SAM	M0276	142	3.2923646961700133	15.457111249624475
Zm00001d042315	SAM	M0278	111	2.4569599433797165	11.535023208355476
Zm00001d042315	SAM	M0281	62	2.1369015057724043	10.032401435551193
Zm00001d042315	SAM	M0284	123	2.267595343823482	10.64598752968771
Zm00001d042315	SAM	M0287	84	1.5130550722537282	7.103544940158348
Zm00001d042315	SAM	M0288	50	1.1029487578458081	5.1781631823746865
Zm00001d042315	SAM	M0289	162	3.2495612875357223	15.256156279510433
Zm00001d042315	SAM	M0296	125	2.863618362377302	13.444217663743203
Zm00001d042315	SAM	M0297	44	0.9622438805906229	4.517576904181328
Zm00001d042315	SAM	M0298	189	3.9046175208792957	18.33153765671031
Zm00001d042315	SAM	M0014	110	2.4224016775287702	11.37277782877357
Zm00001d042315	SAM	M0303	90	1.5020124394925536	7.051701593861754
Zm00001d042315	SAM	M0310	195	3.960820049571568	18.595399293763233
Zm00001d042315	SAM	M0311	221	4.347144917883494	20.409131069875556
Zm00001d042315	SAM	M0315	66	1.4509241098673336	6.811850281067294
Zm00001d042315	SAM	M0317	20	0.7744900455315463	3.636103500148105
Zm00001d042315	SAM	M0322	214	3.6147812371635815	16.970803930345454
Zm00001d042315	SAM	M0323	55	1.08090678584746	5.074679745762722
Zm00001d042315	SAM	M0325	43	0.9194820472777674	4.3168171233698
Zm00001d042315	SAM	M0326	45	0.8839617698166784	4.150055257355298
Zm00001d042315	SAM	M0329	211	3.433720465760091	16.120753360376014
Zm00001d042315	SAM	M0015	43	0.9289727829556648	4.361374567866971
Zm00001d042315	SAM	M0337	97	3.1252389324658583	14.67248325101342
Zm00001d042315	SAM	M0341	109	2.3795983129466896	11.171823065477415
Zm00001d042315	SAM	M0344	44	0.9648019229083808	4.52958649252761
Zm00001d042315	SAM	M0345	201	3.6659405632780246	17.210988559990728
Zm00001d042315	SAM	M0346	81	1.6250294062197046	7.629246038590162
Zm00001d042315	SAM	M0349	80	1.7653841035336493	8.288188279500702
Zm00001d042315	SAM	M0352	29	0.5857235193365059	2.749875677636178
Zm00001d042315	SAM	M0354	162	3.318971937347539	15.582027874871075
Zm00001d042315	SAM	M0355	109	2.472518197633557	11.608066655556605
Zm00001d042315	SAM	M0357	137	2.7239903198269366	12.788686947544305
Zm00001d042315	SAM	M0016	59	1.1948480494205622	5.609615255495598
Zm00001d042315	SAM	M0360	38	0.7813001397235796	3.668075773350139
Zm00001d042315	SAM	M0364	115	2.552456993436891	11.983366166370379
Zm00001d042315	SAM	M0365	41	0.6599157407797941	3.09819596610232
Zm00001d042315	SAM	M0367	43	0.7292987364120261	3.4239377296339257
Zm00001d042315	SAM	M0368	210	3.937350828383257	18.485215156728906
Zm00001d042315	SAM	M0369	22	0.5981666218535066	2.8082939993122373
Zm00001d042315	SAM	M0378	60	1.9134343662359108	8.983259935379863
Zm00001d042315	SAM	M0379	144	2.6515993812000946	12.448823385915938
Zm00001d042315	SAM	M0382	150	3.208916783264411	15.065337010631039
Zm00001d042315	SAM	M0383	51	1.071058574876739	5.028444013505816
