SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
BR015	auricle_v12	Mo17	NA	3	12789833	12688046	89616	8395	3776	12688046	0	0	11659788	10941047	10057278	10660772	777341	695519	616877	676083	250917	98011	0	0	87853	79956	72617	79430	10158	10480855	3369684	946578	159708	250917
BR016	auricle_v12	B73xMo17	NA	1	13001085	12894656	93726	8559	4144	12894656	0	0	12277349	11631527	10880498	11457810	456767	412333	367718	401358	160540	102285	0	0	94831	86836	79279	86371	7454	10891609	2612099	855390	244853	160540
BR017	auricle_v12	B73xMo17	NA	2	10302708	10221028	71676	7323	2681	10221028	0	0	9713015	9189187	8574655	9043863	376750	337970	300541	330616	131263	78999	0	0	72139	65966	59783	65235	6860	8452784	2378274	687715	309937	131263
BR018	auricle_v12	B73xMo17	NA	3	10717426	10612110	92699	8663	3954	10612110	0	0	9967399	9417524	8777851	9270330	439579	398808	359929	391665	205132	101362	0	0	88932	81641	74586	81018	12430	8455889	2950842	703604	530468	205132
BR019	sheath_v12	B73	NA	1	11363325	11252448	97515	8550	4812	11252448	0	0	11058246	10416236	9819996	10426027	108937	97490	89090	99594	85265	106065	0	0	98861	90231	82508	90395	7204	9481644	2661726	795412	202692	85265
BR020	sheath_v12	B73	NA	2	11653190	11560292	80024	8519	4355	11560292	0	0	11385891	10702145	10101415	10745844	97278	86577	78931	88751	77123	88543	0	0	83347	76202	69150	75597	5196	9766660	2848300	842589	158643	77123
BR021	sheath_v12	B73	NA	3	10397926	10313536	73737	7811	2842	10313536	0	0	10138743	9448205	8900299	9550221	95144	84153	77035	87173	79649	81548	0	0	76008	69080	62834	69088	5540	8668643	3171158	758826	96725	79649
BR022	sheath_v12	Mo17	NA	1	10300996	10223999	66661	8090	2246	10223999	0	0	9304989	8679406	7921008	8446447	696822	617504	545572	603845	222188	74751	0	0	66220	59557	52917	58476	8531	8250375	3128382	796990	185952	222188
BR023	sheath_v12	Mo17	NA	2	10610559	10504881	94087	9319	2272	10504881	0	0	9516205	8909973	8096924	8602838	764413	677692	599431	663619	224263	103406	0	0	90848	81871	73490	81188	12558	8399734	2994885	855608	247299	224263
BR024	sheath_v12	Mo17	NA	3	10818591	10732498	75595	8463	2035	10732498	0	0	9779329	9144212	8347201	8878403	732423	646256	571998	635020	220746	84058	0	0	74773	67210	59962	66365	9285	8654622	3169365	814494	238622	220746
BR025	sheath_v12	B73xMo17	NA	1	10460515	10317769	121046	15565	6135	10317769	0	0	9212071	8252181	7727420	8617057	495758	448438	400165	436472	609940	136611	0	0	95504	85749	78117	86731	41107	7782745	6302052	768323	124892	609940
BR026	sheath_v12	B73xMo17	NA	2	13454079	13205917	224098	17188	6876	13205917	0	0	11909231	11169502	10462298	11128431	508441	456365	408977	449015	788245	241286	0	0	152231	137970	127214	140011	89055	10425501	3507861	922990	225872	788245
BR027	sheath_v12	B73xMo17	NA	3	10947765	10796345	128545	16726	6149	10796345	0	0	10037287	9276268	8685186	9380667	507185	454137	404453	445245	251873	145271	0	0	113125	101667	92803	103040	32146	8462387	4186326	835762	337055	251873
BR028	internode_v12	B73	NA	1	11704246	11566394	118139	14762	4951	11566394	0	0	11238834	10654402	10152886	10711076	136323	123720	110846	122363	191237	132901	0	0	116164	106023	97255	106564	16737	9384058	2781958	736458	534975	191237
BR032	internode_v12	Mo17	NA	1	18897584	18677705	191523	21328	7028	18677705	0	0	16915953	15825434	14624569	15572970	1273927	1158230	1036810	1123609	487825	212851	0	0	175483	159241	144666	158767	37368	14995843	6091423	1476180	394599	487825
BR030	internode_v12	B73	NA	2	11511692	11382708	110926	14120	3938	11382708	0	0	11165108	10456564	9951337	10626669	120934	108644	96592	107738	96666	125046	0	0	110306	100463	91883	100871	14740	9412607	3461875	881577	229001	96666
BR031	internode_v12	Mo17	NA	2	11675275	11554947	100248	15143	4937	11554947	0	0	10498383	9930226	9188197	9679231	802807	735845	661801	712407	253757	115391	0	0	93376	85474	76646	83468	22015	9499280	2946091	847255	251449	253757
BR029	internode_v12	B73	NA	3	7280863	7207320	62577	8308	2658	7207320	0	0	7021120	6483016	6185320	6699030	69856	62395	55319	62079	116344	70885	0	0	60665	55133	50357	55337	10220	5874900	3134381	532318	115717	116344
BR033	internode_v12	Mo17	NA	3	11763511	11618868	119649	18213	6781	11618868	0	0	10484040	9914822	9154623	9647344	869812	798871	719368	773641	265016	137862	0	0	105480	96529	86949	94686	32382	9427764	3147717	854745	339060	265016
BR034	internode_v12	B73xMo17	NA	1	11446013	11309805	115489	15554	5165	11309805	0	0	10679634	10135584	9509125	10001092	473972	431332	387255	420371	156199	131043	0	0	110415	101010	91353	99663	20628	9251532	2659197	775858	435095	156199
BR035	internode_v12	B73xMo17	NA	2	10813338	10680875	108313	17785	6365	10680875	0	0	10039114	9424413	8840212	9399775	465978	423385	377714	410839	175783	126098	0	0	99309	90097	81014	89104	26789	8601458	3438524	767100	377812	175783
BR036	internode_v12	B73xMo17	NA	3	12185937	12056501	110428	14427	4581	12056501	0	0	11429635	10764772	10108869	10711972	467266	424051	380052	413102	159600	124855	0	0	106680	97123	87968	96355	18175	9991019	3323931	848202	283439	159600
BR037	tassel_v12	B73	NA	1	11869598	11767998	90126	8206	3268	11767998	0	0	11551738	10237911	9724219	10969828	122289	106219	97746	112631	93971	98332	0	0	85584	77306	71079	78414	12748	9322833	9945722	704802	242705	93971
BR038	tassel_v12	B73	NA	2	13057367	12963185	80775	8732	4675	12963185	0	0	12729753	10432687	9938883	12123422	106593	89115	81874	98035	126839	89507	0	0	73047	64558	58974	66164	16460	9595853	19297573	705902	165055	126839
BR039	tassel_v12	B73	NA	3	11971434	11876376	82958	8815	3285	11876376	0	0	11685113	10298662	9790188	11106548	98814	85160	78470	91087	92449	91773	0	0	80050	72154	66018	72983	11723	9581270	10325948	662908	123136	92449
BR040	tassel_v12	Mo17	NA	1	10198649	10119317	68913	7756	2663	10119317	0	0	9387778	7979523	7387220	8686650	542328	490767	444407	484121	189211	76669	0	0	62061	55784	50268	55475	14608	7647725	11793890	607525	150913	189211
BR041	tassel_v12	Mo17	NA	2	9541534	9458818	72756	7164	2796	9458818	0	0	8748815	8160409	7521664	8038944	565511	515807	466494	504055	144492	79920	0	0	69793	63728	57677	62882	10127	7791499	3595380	600258	218764	144492
BR042	tassel_v12	Mo17	NA	3	12122651	12028360	81552	8485	4254	12028360	0	0	11164579	8867575	8194772	10330101	613821	550518	495566	544102	249960	90037	0	0	69040	60803	55006	61691	20997	8474525	20056004	739052	132960	249960
BR043	tassel_v12	B73xMo17	NA	1	11577660	11490867	74525	7759	4509	11490867	0	0	10897015	10035873	9414277	10205648	402433	361943	323033	353836	191419	82284	0	0	73012	66634	60618	66195	9272	9389392	5463982	798250	161354	191419
BR044	tassel_v12	B73xMo17	NA	2	9209055	9080007	119045	7681	2322	9080007	0	0	8561516	7426293	6934351	7988668	352243	310155	281126	315997	166248	126726	0	0	100864	90720	84722	93541	25862	6970337	9119250	569897	141687	166248
BR045	tassel_v12	B73xMo17	NA	3	11345207	11254362	79849	7972	3024	11254362	0	0	10663690	9879795	9280607	10001160	396927	355159	321858	351126	193745	87821	0	0	78580	71901	65569	71386	9241	9297654	5010287	712491	177381	193745
BR046	ear_v14	B73	NA	1	10279754	10201193	68840	7247	2474	10201193	0	0	9903466	7854211	7493220	9443929	98752	80447	74302	91282	198975	76087	0	0	58373	50540	46201	52718	17714	7112634	18278795	512722	198349	198975
BR047	ear_v14	B73	NA	2	10892889	10799410	82720	7781	2978	10799410	0	0	10599864	9550621	9092444	10090766	124653	109309	100748	115021	74893	90501	0	0	79742	71984	66620	73624	10759	8615699	7674283	649094	300127	74893
BR048	ear_v14	B73	NA	3	10423251	10340695	71878	8051	2627	10340695	0	0	10158789	9045565	8620789	9680185	114386	99796	91244	104680	67520	79929	0	0	69240	62089	56848	63165	10689	8128909	8834708	551966	338274	67520
BR049	ear_v14	Mo17	NA	1	11158750	11087463	61560	7243	2484	11087463	0	0	10357479	9790556	9056222	9548061	577849	526488	471049	508564	152135	68803	0	0	62060	56726	50958	55578	6743	9410783	2631658	720029	145003	152135
BR050	ear_v14	Mo17	NA	2	10615140	10544171	62119	6779	2071	10544171	0	0	9765585	9222286	8485028	8952104	624363	569736	509399	548854	154223	68898	0	0	61654	56473	50622	55053	7244	8840368	2599673	766838	141525	154223
BR051	ear_v14	Mo17	NA	3	10130338	10058913	62752	6566	2107	10058913	0	0	9407808	8903351	8230770	8667592	522806	473983	424388	460363	128299	69318	0	0	62687	57167	51610	56401	6631	8548271	2356927	622668	158542	128299
BR052	ear_v14	B73xMo17	NA	1	9779316	9705723	64039	7269	2285	9705723	0	0	9316293	8814400	8277993	8735621	305854	277813	249903	271805	83576	71308	0	0	64018	58496	52941	57850	7290	8107079	2518664	552585	346527	83576
BR053	ear_v14	B73xMo17	NA	2	10765471	10691005	64955	6770	2741	10691005	0	0	10277925	9693475	9105737	9639132	316662	287223	257408	279768	96418	71725	0	0	65941	60317	54558	59554	5784	9166358	2736007	666625	122402	96418
BR054	ear_v14	B73xMo17	NA	3	10866113	10786414	68930	7668	3101	10786414	0	0	10358478	9793581	9207568	9722979	336235	305844	274661	298205	91701	76598	0	0	68615	62640	56761	62059	7983	9006720	2813364	642498	361638	91701
BR055	silk_0DAP	B73	NA	1	10460214	10354824	93925	7896	3569	10354824	0	0	10178783	9621965	9114027	9641546	115170	103499	95502	106346	60871	101821	0	0	95458	87638	80506	87646	6363	8638803	2616036	800297	238731	60871
BR056	silk_0DAP	B73	NA	2	10094098	10015873	67618	7482	3125	10015873	0	0	9848839	8803307	8355995	9340518	95996	83360	76469	88195	71038	75100	0	0	66269	60153	54441	59740	8831	7944470	7758564	704066	186852	71038
BR057	silk_0DAP	B73	NA	3	9351362	9259488	80935	8013	2926	9259488	0	0	9092783	8596445	8142763	8613061	110189	98708	90923	101702	56516	88948	0	0	82750	75699	69296	75750	6198	7670564	2254606	747147	230819	56516
BR058	silk_0DAP	Mo17	NA	1	9154814	9077113	67152	7755	2794	9077113	0	0	8276688	7649502	7027537	7581415	614206	562766	502090	538445	186219	74907	0	0	64244	58888	52358	56807	10663	7229173	4383636	658561	241510	186219
BR059	silk_0DAP	Mo17	NA	2	9271623	9184908	76688	7174	2853	9184908	0	0	8376718	7864268	7201859	7642645	628467	575348	511374	548911	179723	83862	0	0	73545	67544	60536	65554	10317	7466779	2978013	727593	183701	179723
BR060	silk_0DAP	Mo17	NA	3	8610999	8539340	62483	6719	2457	8539340	0	0	7782386	7341121	6729300	7105085	572260	521792	462699	497754	184694	69202	0	0	60364	55331	49253	53509	8838	6862153	2326429	724710	207790	184694
BR061	silk_0DAP	B73xMo17	NA	1	12378233	12274018	90846	9314	4055	12274018	0	0	11589371	10837920	10119476	10805448	473280	435468	392225	418515	211367	100160	0	0	91398	84360	76207	82288	8762	10261109	4426678	901902	91142	211367
BR062	silk_0DAP	B73xMo17	NA	2	11117019	10918321	184432	9848	4418	10918321	0	0	10175926	9566466	8897044	9450173	477285	437143	397859	428619	265110	194280	0	0	154643	142304	132547	143693	39637	9034553	3548846	757210	169761	265110
BR063	silk_0DAP	B73xMo17	NA	3	12831768	12714257	102459	9872	5180	12714257	0	0	12082908	11364924	10611808	11265928	470047	431044	389977	418737	161302	112331	0	0	102487	94258	85344	92547	9844	10669577	4147234	827275	238370	161302
BR064	spikelets_0DAP	B73	NA	1	12862409	12756383	93290	8805	3931	12756383	0	0	12494367	11748801	11134916	11842504	114507	102388	94097	105276	147509	102095	0	0	95632	87444	79775	87190	6463	10755538	3557386	850212	212055	147509
BR065	spikelets_0DAP	B73	NA	2	13140565	13016984	109675	9740	4166	13016984	0	0	12815906	12079205	11441735	12140451	128886	115580	106555	118827	72192	119415	0	0	112400	103170	94511	102897	7015	11067588	3625373	809382	270873	72192
BR066	spikelets_0DAP	B73	NA	3	12366130	12261404	91623	9597	3506	12261404	0	0	12074934	11388414	10774029	11424437	122292	109643	100157	111690	64178	101220	0	0	95319	87113	78986	86372	5901	10333048	3294558	795673	308458	64178
BR067	spikelets_0DAP	Mo17	NA	1	12302995	12214346	76434	8686	3529	12214346	0	0	11232560	10494074	9634391	10277713	758566	692293	619517	667401	223220	85120	0	0	75690	69169	62123	67674	9430	10029807	4099668	929555	176582	223220
BR068	spikelets_0DAP	Mo17	NA	2	12364997	12266006	86494	9068	3429	12266006	0	0	11319863	10430286	9605890	10397002	744942	682813	616902	663167	201201	95562	0	0	84032	76733	68777	75010	11530	10041609	5838085	791765	218349	201201
BR069	spikelets_0DAP	Mo17	NA	3	12363396	12261701	89091	8953	3651	12261701	0	0	11339125	10626958	9791372	10413457	720176	657576	592164	638616	202400	98044	0	0	87667	79911	72078	78690	10377	10115282	3974029	822733	270197	202400
BR070	spikelets_0DAP	B73xMo17	NA	1	10329056	10246209	73183	7339	2325	10246209	0	0	9778428	9159797	8544315	9108664	362267	329904	298084	323192	105514	80522	0	0	73207	67035	60084	65475	7315	8541047	3526900	647880	242823	105514
BR071	spikelets_0DAP	B73xMo17	NA	2	12278485	12184457	82093	8651	3284	12184457	0	0	11623468	10940024	10212406	10834736	435471	399397	360364	388113	125518	90744	0	0	83020	76379	68648	74410	7724	10265665	3606022	799961	227433	125518
BR072	spikelets_0DAP	B73xMo17	NA	3	12426693	12323355	90284	9332	3722	12323355	0	0	11797212	11080836	10362490	11017170	411377	376758	341311	368336	114766	99616	0	0	91175	83476	75263	82051	8441	10367032	3937036	723004	301698	114766
BR073	husk_0DAP	B73	NA	1	12468897	12338745	116836	9866	3450	12338745	0	0	12123899	11407624	10792336	11470600	142061	127086	117298	131242	72785	126702	0	0	118963	108738	100099	109504	7739	10346709	3452624	838137	288429	72785
BR074	husk_0DAP	B73	NA	2	11486069	11389989	83606	9313	3161	11389989	0	0	11201197	10505563	9946465	10605136	117015	104805	95611	106745	71777	92919	0	0	86032	78482	71286	78089	6887	9509208	3742290	709043	318459	71777
BR075	husk_0DAP	B73	NA	3	11705643	11598042	95542	9595	2464	11598042	0	0	11399047	10679882	10092066	10772078	111521	99341	91267	102444	87474	105137	0	0	98446	89726	81820	89697	6691	9802587	3517963	778098	167985	87474
BR076	husk_0DAP	Mo17	NA	1	12818182	12713872	91361	9785	3164	12713872	0	0	11704593	10601548	9766877	10754918	783247	710662	644731	700001	226032	101146	0	0	88605	79781	71506	78997	12541	10301886	7565038	756323	186424	226032
BR077	husk_0DAP	Mo17	NA	2	12761502	12635684	112066	10382	3370	12635684	0	0	11553950	10802437	9913933	10567661	858140	780169	700135	760055	223594	122448	0	0	109447	99666	89895	98319	13001	10576439	4080137	771433	178362	223594
BR078	husk_0DAP	Mo17	NA	3	12826901	12717414	96100	9764	3623	12717414	0	0	11687726	10882695	10022341	10726116	796937	718884	643330	702759	232751	105864	0	0	94770	85730	77142	84871	11094	10483046	4450033	817038	225431	232751
BR079	husk_0DAP	B73xMo17	NA	1	12503981	12395438	95703	9831	3009	12395438	0	0	11738620	11048455	10313018	10937670	462144	419022	379229	412546	194674	105534	0	0	97269	89048	80496	87679	8265	10484725	3374177	797740	148143	194674
BR080	husk_0DAP	B73xMo17	NA	2	11607643	11406667	187359	10716	2901	11406667	0	0	10691978	10038596	9336188	9927216	500170	450318	409846	450170	214519	198075	0	0	172778	157016	146610	161004	25297	9472833	3426389	765844	197384	214519
BR081	husk_0DAP	B73xMo17	NA	3	13790861	13666823	109748	10866	3424	13666823	0	0	13018843	12275356	11464848	12140116	477439	436056	395869	428199	170541	120614	0	0	111792	102255	92395	100794	8822	11793333	3621252	790310	106331	170541
BR082	tasselstem_0DAP	B73	NA	1	12451564	12349251	90499	8925	2889	12349251	0	0	12083133	11369319	10767768	11444679	121528	109153	100519	112009	144590	99424	0	0	93002	85444	78168	84994	6422	10274211	3319363	982844	190351	144590
BR083	tasselstem_0DAP	B73	NA	2	12221050	12112847	96612	9305	2286	12112847	0	0	11901067	11223431	10604653	11246216	131504	118575	108849	120789	80276	105917	0	0	98933	91344	83746	90632	6984	10031291	3365113	1045411	224330	80276
BR084	tasselstem_0DAP	B73	NA	3	11567848	11471842	84384	9330	2292	11471842	0	0	11246645	10092113	9535075	10622575	130790	114050	104289	119365	94407	93714	0	0	82511	75066	68361	74878	11203	8997161	8237902	912169	234495	94407
BR085	tasselstem_0DAP	Mo17	NA	1	9540165	9463815	65389	7832	3129	9463815	0	0	8567747	7865733	7182979	7804701	685490	627379	567214	612110	210578	73221	0	0	62125	56736	50572	55100	11096	7411346	5023061	742611	249165	210578
BR086	tasselstem_0DAP	Mo17	NA	2	9089631	9011444	68215	7446	2526	9011444	0	0	8210623	7728164	7071949	7487632	622689	569365	513595	554266	178132	75661	0	0	66680	61188	54615	59277	8981	7336976	2743168	697236	198638	178132
BR087	tasselstem_0DAP	Mo17	NA	3	9244929	9157904	76298	7990	2737	9157904	0	0	8350260	7851508	7186138	7619887	630531	580479	526378	565091	177113	84288	0	0	74480	68423	61504	66708	9808	7589253	2934067	645367	150272	177113
BR088	tasselstem_0DAP	B73xMo17	NA	1	8876713	8797378	69855	7096	2384	8797378	0	0	8310407	7743238	7197431	7710463	355705	321140	289999	317448	131266	76951	0	0	69857	63559	57290	62819	7094	7171495	3220580	667035	177215	131266
BR089	tasselstem_0DAP	B73xMo17	NA	2	9021520	8943627	67921	7279	2693	8943627	0	0	8402389	7873102	7312575	7789561	367606	331353	299409	328336	173632	75200	0	0	66844	60959	54884	60018	8356	7254630	2836760	665513	224613	173632
BR090	tasselstem_0DAP	B73xMo17	NA	3	9072250	8993652	69024	6953	2621	8993652	0	0	8470244	7824787	7269626	7856464	369139	331594	298911	328530	154269	75977	0	0	67110	60938	55033	60388	8867	7142859	4074699	687540	250949	154269
BR091	floret_0DAP	B73	NA	1	10046688	9917126	115716	10742	3104	9917126	0	0	9727663	8879728	8281004	9067316	135188	116901	106152	122887	54275	126458	0	0	117517	104837	95107	106529	8941	7992089	4733745	740159	206675	54275
BR092	floret_0DAP	B73	NA	2	10344979	10247053	84651	10405	2870	10247053	0	0	10072439	9078034	8473413	9396895	115304	98850	88904	103795	59310	95056	0	0	88145	78079	69393	78213	6911	8164910	5924870	758437	195944	59310
BR093	floret_0DAP	B73	NA	3	9586452	9469113	103026	10989	3324	9469113	0	0	9289668	8492736	7938781	8679559	121093	104244	94365	109716	58352	114015	0	0	104560	93332	83975	93974	9455	7463296	4707873	686316	340707	58352
BR094	floret_0DAP	Mo17	NA	1	9591540	9496979	82098	10336	2127	9496979	0	0	8630932	7884620	7088630	7735848	661884	597700	532231	580868	204163	92434	0	0	81400	72596	63322	70689	11034	7506878	4122995	813838	115064	204163
BR095	floret_0DAP	Mo17	NA	2	10171616	10050093	107041	11616	2866	10050093	0	0	9057027	8362856	7504265	8104029	778310	710315	634042	686505	214756	118657	0	0	103180	93212	82125	90612	15477	7912168	3652361	949383	156697	214756
BR096	floret_0DAP	Mo17	NA	3	8968665	8870021	86427	9727	2490	8870021	0	0	8124887	7534455	6792170	7297600	604167	544068	486921	533404	140967	96154	0	0	86516	77370	67873	75674	9638	7164583	2970785	649455	197715	140967
BR097	floret_0DAP	B73xMo17	NA	1	8971648	8871487	87265	10165	2731	8871487	0	0	8439878	7904299	7277921	7758114	346631	313045	280872	308034	84978	97430	0	0	89855	81354	72542	79877	7575	7196678	2729308	624225	310278	84978
BR098	floret_0DAP	B73xMo17	NA	2	9125085	8871603	238587	11782	3113	8871603	0	0	8277746	7658921	6991993	7547003	448530	404505	366762	403603	145327	250369	0	0	206891	187696	174390	191778	43478	7113183	3662613	670108	214737	145327
BR099	floret_0DAP	B73xMo17	NA	3	10114073	10000848	99049	11020	3156	10000848	0	0	9502469	8693122	7993513	8726415	386241	348601	312608	342910	112138	110069	0	0	99784	90022	80410	88906	10285	8018836	4953482	767334	194191	112138
BR118	kernel_14DAP	B73	NA	1	10936328	10843315	80873	9375	2765	10843315	0	0	10659334	9461600	8873158	9999197	111806	93829	84463	100850	72175	90248	0	0	83133	74036	66313	74354	7115	8662158	6154616	674488	171784	72175
BR119	kernel_14DAP	B73	NA	2	11056044	10956542	87277	9528	2697	10956542	0	0	10780792	9756019	9141776	10103995	116605	99151	89160	105079	59145	96805	0	0	91079	81883	73614	81840	5726	8993632	4621207	675532	152246	59145
BR120	kernel_14DAP	B73	NA	3	10542981	10452024	78936	9278	2743	10452024	0	0	10278273	9060844	8472316	9613456	105760	88516	78916	94502	67991	88214	0	0	80625	72036	64317	71831	7589	8356421	6650643	646194	119970	67991
BR121	kernel_14DAP	Mo17	NA	1	13288857	13186732	86704	11582	3839	13186732	0	0	12471411	11236547	10311182	11407897	549314	493006	438300	480644	166007	98286	0	0	88686	80187	70930	78038	9600	10765301	6258669	792835	127521	166007
BR122	kernel_14DAP	Mo17	NA	2	13244937	13134240	94931	11838	3928	13134240	0	0	12413593	11310990	10371446	11345806	564072	507732	451977	494225	156575	106769	0	0	96820	87476	77375	85261	9949	10821547	5485309	772462	168133	156575
BR123	kernel_14DAP	Mo17	NA	3	11612393	11504790	93474	11039	3090	11504790	0	0	10848015	9548512	8731074	9898892	516332	462742	415083	456987	140443	104513	0	0	90860	81532	72284	80037	13653	9150957	8451915	608677	181600	140443
BR124	kernel_14DAP	B73xMo17	NA	1	12287598	12188660	84798	10932	3208	12188660	0	0	11883144	10037502	9340403	11052629	223375	189728	168605	196556	82141	95730	0	0	88139	78443	69470	77847	7591	9129296	8236118	935609	127860	82141
BR125	kernel_14DAP	B73xMo17	NA	2	11390752	11303494	74866	9763	2629	11303494	0	0	11012888	9300718	8643379	10230356	211573	179344	159428	186033	79033	84629	0	0	77959	69046	60865	68542	6670	8445843	7857806	832816	151228	79033
BR126	kernel_14DAP	B73xMo17	NA	3	10802003	10718433	71932	9030	2608	10718433	0	0	10447809	8878362	8242008	9695203	193123	164242	145799	169894	77501	80962	0	0	74461	65960	58550	65853	6501	8082479	7219400	808826	117461	77501
BR127	kernel_14DAP	Mo17xB73	NA	1	11034849	10942002	79947	10086	2814	10942002	0	0	10481058	9049302	8331562	9637194	354809	309227	274878	311296	106135	90033	0	0	81213	71387	63049	71453	8820	8346598	7143276	721733	207142	106135
BR128	kernel_14DAP	Mo17xB73	NA	2	12256591	12098686	142174	10295	5436	12098686	0	0	11534744	9742928	8961776	10601290	414625	358110	320267	366971	149317	152469	0	0	130989	113874	104467	119730	21480	8965176	9729905	839835	210044	149317
BR129	kernel_14DAP	Mo17xB73	NA	3	12056059	11952150	88903	11371	3635	11952150	0	0	11445161	10207076	9408566	10529018	388176	343895	305946	340529	118813	100274	0	0	91749	82170	72328	80519	8525	9628766	5674938	727448	147851	118813
BR100	flagleaf_0DAP	B73	NA	1	8870907	8779729	82075	6982	2121	8779729	0	0	8629262	7957333	7453277	8081857	103077	90399	83212	94853	47390	89057	0	0	82719	74210	67975	75693	6338	7291900	3558922	542032	169827	47390
BR101	flagleaf_0DAP	B73	NA	2	8927886	8852968	66495	6569	1854	8852968	0	0	8718280	8164772	7661332	8180733	96085	85103	78146	88290	38603	73064	0	0	69184	62626	57056	62989	3880	7424553	2537855	586894	193392	38603
BR102	flagleaf_0DAP	B73	NA	3	9310919	9227730	73776	7244	2169	9227730	0	0	9095767	8517238	7975626	8517733	94016	83206	75800	85742	37947	81020	0	0	76608	69547	62976	69369	4412	7914377	2517864	560024	106458	37947
BR103	flagleaf_0DAP	Mo17	NA	1	12454393	12351934	87955	10217	4287	12351934	0	0	11365279	10775388	9906634	10400591	766746	688249	619682	679004	219909	98172	0	0	88879	81408	73276	79609	9293	10551332	2648990	789081	85901	219909
