"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX243425","""Zea mays, WD RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395304","Maize","1593.33","1","12830765","2566153000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243424","""Zea mays, W9 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395303","Maize","1109.99","1","8943807","1788761400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243423","""Zea mays, W85 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395302","Maize","1416.14","1","11550285","2310057000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243422","""Zea mays, W821G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395301","Maize","2140.52","1","17419219","3483843800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243421","""Zea mays, W820G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395300","Maize","1428.91","1","11738518","2347703600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243420","""Zea mays, W819G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395299","Maize","1499.47","1","11748911","2349782200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243419","""Zea mays, W818G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395298","Maize","1435.59","1","11646289","2329257800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243418","""Zea mays, W817G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395297","Maize","886.11","1","7348226","1469645200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243417","""Zea mays, W816G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395296","Maize","1183.03","1","9535063","1907012600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243416","""Zea mays, W815G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395295","Maize","1088.37","1","8736712","1747342400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243415","""Zea mays, W814G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395294","Maize","1402.48","1","10951420","2190284000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243414","""Zea mays, W813G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395293","Maize","1227.32","1","9525993","1905198600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243413","""Zea mays, W812G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395292","Maize","1880.01","1","15216487","3043297400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243412","""Zea mays, W811G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395291","Maize","1533.31","1","12597475","2519495000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243411","""Zea mays, W810G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395290","Maize","1760.07","1","14244470","2848894000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243410","""Zea mays, W809G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395289","Maize","778.45","1","6370139","1274027800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243409","""Zea mays, W803G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395288","Maize","1367.06","1","10847247","2169449400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243408","""Zea mays, W802G RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395287","Maize","1182.56","1","9838029","1967605800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243407","""Zea mays, W703 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395286","Maize","600.68","1","4828804","965760800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243406","""Zea mays, W701BC RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395285","Maize","1011.97","1","8390223","1678044600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243405","""Zea mays, W64A RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395284","Maize","1241.24","1","10091813","2018362600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243404","""Zea mays, W612S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395283","Maize","603.11","1","4890258","978051600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243403","""Zea mays, W611S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395282","Maize","2227.11","1","18216083","3643216600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243402","""Zea mays, W610S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395281","Maize","1588.82","1","12461040","2492208000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243401","""Zea mays, W609S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395280","Maize","888.96","1","7120856","1424171200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243400","""Zea mays, W608S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395279","Maize","1941.65","1","16114061","3222812200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243399","""Zea mays, W607S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395278","Maize","1373.94","1","11288190","2257638000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243398","""Zea mays, W606S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395277","Maize","1338.91","1","10766152","2153230400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243397","""Zea mays, W605S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395276","Maize","3612.87","1","29006061","5801212200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243396","""Zea mays, W604S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395275","Maize","1246.08","1","10020289","2004057800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243395","""Zea mays, W603S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395274","Maize","3417.96","1","27202582","5440516400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243394","""Zea mays, W601S RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395273","Maize","1184.17","1","9655045","1931009000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243393","""Zea mays, W59E RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395272","Maize","1309.65","1","10726012","2145202400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243392","""Zea mays, W552 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395271","Maize","1610.71","1","12939329","2587865800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243391","""Zea mays, W37A RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395270","Maize","1650.95","1","13223597","2644719400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243390","""Zea mays, W32 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395269","Maize","1424.04","1","11931022","2386204400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243389","""Zea mays, W24 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395268","Maize","1515.19","1","12113346","2422669200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243388","""Zea mays, W23 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395267","Maize","1158.68","1","9369386","1873877200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243387","""Zea mays, W22 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395266","Maize","1112.75","1","9067556","1813511200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243386","""Zea mays, W182BN RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395265","Maize","1628.48","1","13077926","2615585200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243385","""Zea mays, W153R RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395264","Maize","1050.49","1","8581264","1716252800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243384","""Zea mays, W117Ht RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395263","Maize","1281.89","1","10593700","2118740000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243383","""Zea mays, W_7151 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395262","Maize","753.34","1","6115404","1223080800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243382","""Zea mays, VaW6 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395261","Maize","1532.4","1","12842795","2568559000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243381","""Zea mays, Va99 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395260","Maize","1195.93","1","9811545","1962309000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243380","""Zea mays, Va85 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395259","Maize","787.25","1","6478280","1295656000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243379","""Zea mays, Va52 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395258","Maize","1019.74","1","8200828","1640165600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243378","""Zea mays, Va38 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395257","Maize","1504.2","1","12354626","2470925200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243377","""Zea mays, Va14 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395256","Maize","908.4","1","7422483","1484496600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243376","""Zea mays, Va102 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395255","Maize","985.15","1","8156140","1631228000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243375","""Zea mays, U267Y RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395254","Maize","1388.43","1","11754536","2350907200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243374","""Zea mays, U_123 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395253","Maize","905.14","1","7224855","1444971000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243373","""Zea mays, TZU-CHIAO-HSI-WU_105 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395252","Maize","1219.49","1","10051792","2010358400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243372","""Zea mays, Tx303 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395251","Maize","1264.29","1","10083492","2016698400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243371","""Zea mays, Tr RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395250","Maize","1179.77","1","9724085","1944817000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243370","""Zea mays, T9 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395249","Maize","1601.19","1","12842792","2568558400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243369","""Zea mays, T242 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395248","Maize","2439.03","1","19858967","3971793400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243368","""Zea mays, T234 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395247","Maize","1029.31","1","8490273","1698054600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243367","""Zea mays, T232 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395246","Maize","1207.18","1","10211522","2042304400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243366","""Zea mays, T146 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395245","Maize","1474.87","1","11873913","2374782600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243365","""Zea mays, T141 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395244","Maize","1301.89","1","10612878","2122575600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243364","""Zea mays, Sg18 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395243","Maize","1911.71","1","15382726","3076545200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243363","""Zea mays, Sg1533 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395242","Maize","2045.08","1","17005017","3401003400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243362","""Zea mays, SG_30A RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395241","Maize","1184.39","1","9208092","1841618400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243361","""Zea mays, SD44 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395240","Maize","1085.38","1","8907211","1781442200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243360","""Zea mays, SD42 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395239","Maize","996.87","1","8342480","1668496000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243359","""Zea mays, SD40 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395238","Maize","1131.09","1","9617726","1923545200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243358","""Zea mays, SD15 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395237","Maize","1371.23","1","11158343","2231668600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243357","""Zea mays, SD107 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395236","Maize","704.28","1","5672217","1134443400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243356","""Zea mays, SD102 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395235","Maize","1581.99","1","12395168","2479033600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243355","""Zea mays, SD101 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395234","Maize","1120.75","1","8755400","1751080000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243354","""Zea mays, S_56 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395233","Maize","2025.82","1","16462015","3292403000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243353","""Zea mays, R78 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395232","Maize","1100.64","1","8946451","1789290200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243352","""Zea mays, R71 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395231","Maize","500.44","1","4094332","818866400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243351","""Zea mays, R53 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395230","Maize","1220.56","1","9536898","1907379600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243350","""Zea mays, R4 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395229","Maize","962.65","1","7857596","1571519200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243349","""Zea mays, R30 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395228","Maize","1253.78","1","9803643","1960728600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243348","""Zea mays, R229 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395227","Maize","1393.1","1","11399731","2279946200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243347","""Zea mays, R227 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395226","Maize","1157.35","1","9025308","1805061600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243346","""Zea mays, R226 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395225","Maize","663.81","1","5575165","1115033000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243345","""Zea mays, R225 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395224","Maize","1242.35","1","9948074","1989614800","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243344","""Zea mays, R197 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395223","Maize","1000.22","1","8068153","1613630600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243343","""Zea mays, R181B RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395222","Maize","898.47","1","7333945","1466789000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243342","""Zea mays, R177 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395221","Maize","1200.71","1","9830348","1966069600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243341","""Zea mays, R168 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395220","Maize","1110.63","1","9097112","1819422400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
