Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR504462,2012-09-05 09:08:14,2012-06-06 10:17:39,21246896,2124689600,0,100,1334,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504462,SRX151740,GSM943461: Kn1-N leaf homo #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344378,SAMN01041006,simple,4577,Zea mays,GSM943461,,,,,,,no,,,,,GEO,SRA053486,,public,B44B54641AC7BEAA52AA4D77ACB9FD6D,E285C65A2F314BC35E6DE723E4FCF7B1
SRR504473,2012-09-05 09:08:14,2012-06-06 15:53:34,24418666,2441866600,0,100,1512,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504473,SRX151751,GSM943472: WT tassels #3; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344389,SAMN01041017,simple,4577,Zea mays,GSM943472,,,,,,,no,,,,,GEO,SRA053486,,public,62275CEFE193F30AD19C9C38AEE08DBD,0A263E94AC905F25C63281AC017D0840
SRR504474,2012-09-05 09:08:14,2012-06-06 10:18:31,26094182,2609418200,0,100,1609,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504474,SRX151752,GSM943473: e1 ears #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344390,SAMN01041018,simple,4577,Zea mays,GSM943473,,,,,,,no,,,,,GEO,SRA053486,,public,9011C5405C11177BF595723CA35F8FDB,F828C444D59F32182EE047A2A18A323F
SRR504475,2012-09-05 09:08:14,2012-06-06 15:53:24,24561689,2456168900,0,100,1514,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504475,SRX151753,GSM943474: e1 ears #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344391,SAMN01041019,simple,4577,Zea mays,GSM943474,,,,,,,no,,,,,GEO,SRA053486,,public,11D55F8C92E6CF88A85AA0C4C06CCE58,D1A8CB05E68AB810AC55013285DD3065
SRR504476,2012-09-05 09:08:14,2012-06-06 10:17:20,20723339,2072333900,0,100,1275,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504476,SRX151754,GSM943475: WT ears #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344392,SAMN01041020,simple,4577,Zea mays,GSM943475,,,,,,,no,,,,,GEO,SRA053486,,public,F50DE2A5BC25F930CACDE969FE92B63B,EA3D3995368845500CEBFBD98A82282F
SRR504477,2012-09-05 09:08:14,2012-06-06 10:18:05,24229119,2422911900,0,100,1493,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504477,SRX151755,GSM943476: WT ears #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344393,SAMN01041021,simple,4577,Zea mays,GSM943476,,,,,,,no,,,,,GEO,SRA053486,,public,619A70E4C4113A22832E9412441B57B3,AF96635B6F687E3112CADFA2D6150939
SRR504478,2012-09-05 09:08:14,2012-06-06 10:17:41,21282499,2128249900,0,100,1308,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504478,SRX151756,GSM943477: e1 SAM #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344394,SAMN01041022,simple,4577,Zea mays,GSM943477,,,,,,,no,,,,,GEO,SRA053486,,public,D1D48557698111463F8848C110D96AF2,D62441894CF4002B80A29B3828E12AF4
SRR504479,2012-09-05 09:08:14,2012-06-06 10:18:36,23959644,2395964400,0,100,1470,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504479,SRX151757,GSM943478: e1 SAM #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344395,SAMN01041023,simple,4577,Zea mays,GSM943478,,,,,,,no,,,,,GEO,SRA053486,,public,E7C698BC070924213524E0FFC0CA016F,D25EC8D8033B2B17A1BBB4D69CB3C780
SRR504480,2012-09-05 09:08:14,2012-06-06 10:18:36,23837803,2383780300,0,100,1462,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504480,SRX151758,GSM943479: WT SAM #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344396,SAMN01041024,simple,4577,Zea mays,GSM943479,,,,,,,no,,,,,GEO,SRA053486,,public,1311A33CA122ED66DF61EB4161F269D4,ACFE03A3CAC21BDC6B7FCB7598EE8414
SRR504481,2012-09-05 09:08:14,2012-06-06 15:52:08,20189299,2018929900,0,100,1242,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504481,SRX151759,GSM943480: WT SAM #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344397,SAMN01041025,simple,4577,Zea mays,GSM943480,,,,,,,no,,,,,GEO,SRA053486,,public,B4E24F8927427A45BA3D437C7E5772AB,D51E0FA8FBA914C5483EFEBF420DA8DE

