"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX118523","Zea Mays, B73 14DAP_Endopsperm_R1 RNA-Seq (SK130)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291095","","580.22","1","8827468","891574268","SK130","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118522","Zea Mays, B73 14DAP_Whole seed_R3 RNA-Seq (SK129)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291094","","433.89","1","6595254","666120654","SK129","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118521","Zea Mays, B73 14DAP_Whole seed_R2 RNA-Seq (SK128)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291093","","601.45","1","9127755","921903255","SK128","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118520","Zea Mays, B73 14DAP_Whole seed_R1 RNA-Seq (SK127)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291092","","929.58","1","14145375","1428682875","SK127","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118519","Zea Mays, B73 12DAP_Endopsperm_R3 RNA-Seq (SK126)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291091","","1123.2","1","17124858","1729610658","SK126","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118518","Zea Mays, B73 12DAP_Endopsperm_R2 RNA-Seq (SK125)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291090","","448.4","1","6803145","687117645","SK125","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118517","Zea Mays, B73 12DAP_Endopsperm_R1 RNA-Seq (SK124)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291089","","326.77","1","4946871","499633971","SK124","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118516","Zea Mays, B73 12DAP_Whole seed_R3 RNA-Seq (SK123)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291087","","516.13","1","7816147","789430847","SK123","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118515","Zea Mays, B73 12DAP_Whole seed_R2 RNA-Seq (SK122)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291086","","280.56","1","4259218","430181018","SK122","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118514","Zea Mays, B73 12DAP_Whole seed_R1 RNA-Seq (SK121)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291085","","371.9","1","5658898","571548698","SK121","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118513","Zea Mays, B73 10DAP_Whole seed_R3 RNA-Seq (SK120)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291084","","493.94","1","7448933","752342233","SK120","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118512","Zea Mays, B73 10DAP_Whole seed_R2 RNA-Seq (SK119)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291083","","611.52","1","9281333","937414633","SK119","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118511","Zea Mays, B73 10DAP_Whole seed_R1 RNA-Seq (SK118)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291082","","809.24","1","12265519","1238817419","SK118","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118510","Zea Mays, B73 R2_Thirteenth Leaf_R3 RNA-Seq (SK099)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291081","","300.06","1","6548250","491118750","SK099","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118509","Zea Mays, B73 R2_Thirteenth Leaf_R2 RNA-Seq (SK098)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291080","","452.77","1","9768776","732658200","SK098","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118508","Zea Mays, B73 R2_Thirteenth Leaf_R1 RNA-Seq (SK097)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291079","","342.82","1","7493245","561993375","SK097","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118507","Zea Mays, B73 VT_Thirteenth Leaf_R3 RNA-Seq (SK084)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291078","","268.91","1","6041944","453145800","SK084","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118506","Zea Mays, B73 VT_Thirteenth Leaf_R2 RNA-Seq (SK083)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291077","","289.66","1","6645797","498434775","SK083","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118505","Zea Mays, B73 VT_Thirteenth Leaf_R1 RNA-Seq (SK082)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291076","","312.88","1","7142159","535661925","SK082","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118504","Zea Mays, B73 V9_Immature Leaves_R3 RNA-Seq (SK072)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291075","","234.21","1","4745872","355940400","SK072","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118503","Zea Mays, B73 V9_Immature Leaves_R2 RNA-Seq (SK071)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291074","","270.04","1","5512159","413411925","SK071","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118494","Zea Mays, B73 V9_Immature Leaves_R1 RNA-Seq (SK070)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291073","","235.15","1","4816974","361273050","SK070","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118493","Zea Mays, B73 V9_Thirteenth Leaf_R3 RNA-Seq (SK069)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291072","","272.27","1","6203365","465252375","SK069","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118492","Zea Mays, B73 V9_Thirteenth Leaf_R2 RNA-Seq (SK068)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291071","","323.56","1","7347443","551058225","SK068","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118491","Zea Mays, B73 V9_Thirteenth Leaf_R1 RNA-Seq (SK067)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291070","","326.56","1","7441312","558098400","SK067","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118490","Zea Mays, B73 V9_Eleventh Leaf_R3 RNA-Seq (SK066)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291069","","228.17","1","5237785","392833875","SK066","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118489","Zea Mays, B73 V9_Eleventh Leaf_R2 RNA-Seq (SK065)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291068","","266.32","1","6148825","461161875","SK065","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118488","Zea Mays, B73 V9_Eleventh Leaf_R1 RNA-Seq (SK064)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291067","","296.39","1","6853056","513979200","SK064","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118487","Zea Mays, B73 V9_Eighth Leaf_R3 RNA-Seq (SK063)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291022","","573.88","1","12990824","974311800","SK063","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118486","Zea Mays, B73 V9_Eighth Leaf_R2 RNA-Seq (SK062)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291021","","262.05","1","5976811","448260825","SK062","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118485","Zea Mays, B73 V9_Eighth Leaf_R1 RNA-Seq (SK061)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291020","","273.74","1","6281183","471088725","SK061","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118484","Zea Mays, B73 V5_Tip of stage-2 Leaf_R3 RNA-Seq (SK045)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291019","","728.86","1","20466510","1534988250","SK045","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118483","Zea Mays, B73 V5_Tip of stage-2 Leaf_R2 RNA-Seq (SK044)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291018","","888.6","1","17005539","1275415425","SK044","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118476","Zea Mays, B73 V5_Tip of stage-2 Leaf_R1 RNA-Seq (SK043)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291017","","1482.15","1","30841269","2343936444","SK043","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118475","Zea Mays, B73 V5_Tip of stage-2 Leaf_R1 RNA-Seq (SK043)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291017","","384.17","1","15553296","544365360","SK043","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118474","Zea Mays, B73 V3_Stem and SAM_R3 RNA-Seq (SK030)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291016","","931.24","1","17778966","1333422450","SK030","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118473","Zea Mays, B73 V3_Stem and SAM_R2 RNA-Seq (SK029)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291015","","853.78","1","16308033","1223102475","SK029","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118472","Zea Mays, B73 V3_Stem and SAM_R1 RNA-Seq (SK028)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290963","","1429.91","1","29955323","2276604548","SK028","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118471","Zea Mays, B73 V3_Stem and SAM_R1 RNA-Seq (SK028)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290963","","387.29","1","15762571","551689985","SK028","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118470","Zea Mays, B73 6DAS_GH_Primary Root_R3 RNA-Seq (SK009)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290962","","976.34","1","18733352","1405001400","SK009","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118469","Zea Mays, B73 6DAS_GH_Primary Root_R2 RNA-Seq (SK008)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290961","","812.34","1","15454859","1159114425","SK008","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118468","Zea Mays, B73 6DAS_GH_Primary Root_R1 RNA-Seq (SK007)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290960","","1485.27","1","30874768","2346482368","SK007","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118467","Zea Mays, B73 6DAS_GH_Primary Root_R1 RNA-Seq (SK007)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290960","","380.48","1","15385969","538508915","SK007","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118466","Zea Mays, B73 24H_Germinating Seed_R3 RNA-Seq (SK003)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290959","","751.17","1","14478260","1085869500","SK003","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118465","Zea Mays, B73 24H_Germinating Seed_R2 RNA-Seq (SK002)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290958","","854.66","1","16403718","1230278850","SK002","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118464","Zea Mays, B73 24H_Germinating Seed_R1 RNA-Seq (SK001)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290957","","1080.69","1","24401889","1854543564","SK001","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118463","Zea Mays, B73 24H_Germinating Seed_R1 RNA-Seq (SK001)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS290957","","409.75","1","16664335","583251725","SK001","RNA-Seq","TRANSCRIPTOMIC","cDNA"
