"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX339793","GSM1215357: EZ_rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473616","","1649.53","1","25096136","2509613600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339792","GSM1215356: MZ_rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473615","","1633.09","1","24907859","2490785900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339791","GSM1215355: 2-4 mm from tip of ear primordium 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473614","","1927.44","1","29296140","2929614000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339790","GSM1215354: 2-4 mm from tip of ear primordium 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473612","","1776.06","1","27161974","2716197400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339789","GSM1215353: 2-4 mm from tip of ear primordium 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473613","","1744.48","1","26746096","2674609600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339788","GSM1215352: 6-8 mm from tip of ear primordium 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473611","","1154.97","1","17690157","1769015700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339787","GSM1215351: 6-8 mm from tip of ear primordium 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473610","","1589.41","1","24259731","2425973100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339786","GSM1215350: 6-8 mm from tip of ear primordium 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473609","","1790.01","1","27252374","2725237400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339785","GSM1215349: MATURE LEAF TISSUE (leaf 8) 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473608","","1435.49","1","21916416","2191641600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339784","GSM1215348: MATURE LEAF TISSUE (leaf 8) 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473606","","1731.69","1","26408022","2640802200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339783","GSM1215347: MATURE LEAF TISSUE (leaf 8) 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473607","","1334.23","1","20434594","2043459400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339782","GSM1215346: Germinating Kernels 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473605","","3032.14","1","46059806","4605980600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339781","GSM1215345: Germinating Kernels 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473603","","1529.42","1","23331686","2333168600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339780","GSM1215344: Germinating Kernels 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473604","","1493.09","1","22717651","2271765100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339779","GSM1215343: EMBRYOS 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473602","","1481.5","1","22433479","2243347900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339778","GSM1215342: EMBRYOS 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473600","","1293.96","1","19626903","1962690300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339777","GSM1215341: EMBRYOS 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473601","","1243.18","1","18657758","1865775800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339776","GSM1215340: embryos_20DAP_r3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473599","","2145.79","1","33971845","3397184500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339775","GSM1215339: embryos_20DAP_r2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473598","","2115.51","1","33646352","3364635200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339774","GSM1215338: embryos_20DAP_r1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473597","","2105.96","1","33351230","3335123000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339773","GSM1215337: GROWTH ZONE 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473596","","1254.83","1","19096768","1909676800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339772","GSM1215336: GROWTH ZONE 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473595","","1703.4","1","25735688","2573568800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339771","GSM1215335: GROWTH ZONE 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473593","","1616.67","1","24481942","2448194200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339770","GSM1215334: STOMATAL_DIVISION_ZONE_r3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473594","","1511.65","1","22851558","2285155800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339769","GSM1215333: STOMATAL_DIVISION_ZONE_r2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473591","","1406.28","1","21212846","2121284600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339768","GSM1215332: STOMATAL_DIVISION_ZONE_r1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473592","","1479.12","1","22367166","2236716600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339767","GSM1215331: SYMMETRICAL_DIVISION_ZONE_r3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473590","","1548.93","1","23421576","2342157600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339766","GSM1215330: SYMMETRICAL_DIVISION_ZONE_r2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473589","","1572.01","1","23790586","2379058600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339765","GSM1215329: SYMMETRICAL_DIVISION_ZONE_r1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473588","","1755.89","1","26569994","2656999400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339764","GSM1215328: endosperm_crown_r3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473587","","1829.71","1","27178641","2717864100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339763","GSM1215327: endosperm_crown_r2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473586","","1492.02","1","22450336","2245033600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339762","GSM1215326: endosperm_crown_r1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473585","","1357.7","1","20475682","2047568200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339761","GSM1215325: pericarp_aleurone_r3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473584","","1004.19","1","15145587","1514558700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339760","GSM1215324: pericarp_aleurone_r2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473583","","1410.69","1","21154911","2115491100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339759","GSM1215323: pericarp_aleurone_r1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473582","","1464","1","21908704","2190870400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339758","GSM1215322: endosperm_12DAP_r3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473581","","2186.39","1","34620400","3462040000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339757","GSM1215321: endosperm_12DAP_r2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473580","","2090.21","1","33146885","3314688500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339756","GSM1215320: endosperm_12DAP_r1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473579","","2141.49","1","33974745","3397474500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
