"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4666351","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161054","Brachypodium distachyon Bd1-1 gene expression profiling - 14_dpi_Bd1-1_PMV1 transcriptome","SRS3761287","","5383.32","1","60241771","18193014842","COXYB","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666350","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161041","Brachypodium distachyon Bd1-1 gene expression profiling - 14_dpi_Bd1-1_PMV2 transcriptome","SRS3761273","","5021.89","1","56965264","17203509728","COXYC","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666349","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161040","Brachypodium distachyon Bd1-1 gene expression profiling - 7_dpi_Bd1-1_PMV2 transcriptome","SRS3761272","","2092.02","1","22585933","6820951766","COXXW","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666348","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161038","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_ver-ck_1 transcriptome","SRS3761270","","2760.74","1","30300938","9150883276","COXTZ","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666347","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161037","Brachypodium distachyon Bd1-1 gene expression profiling - 14_Bd1-1_PMV+SPMV1 transcriptome","SRS3761269","","4853.75","1","54521503","16465493906","COXYP","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666346","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161039","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-leaf_4 transcriptome","SRS3761271","","3764.27","1","40625311","12268843922","COXUH","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666345","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161053","Brachypodium distachyon Bd1-1 gene expression profiling - 7_dpi_Bd1-1_PMV1 transcriptome","SRS3761286","","2612.06","1","28298806","8546239412","COXXU","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666344","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161035","Brachypodium distachyon Bd1-1 gene expression profiling - 7_dpi_Bd1-1_Mock3 transcriptome","SRS3761267","","2895.36","1","31490500","9510131000","COXXT","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666343","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161034","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-root_1 transcriptome","SRS3761266","","3474.75","1","38137000","11517374000","COXUT","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666342","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161033","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-root_2 transcriptome","SRS3761265","","3282","1","35981866","10866523532","COXUN","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666341","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161032","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-root_4 transcriptome","SRS3761264","","3671.79","1","40366173","12190584246","COXUO","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666340","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161031","Brachypodium distachyon Bd1-1 gene expression profiling - 2dpi_Bd1-1_Mock_1 transcriptome","SRS3761263","","4031.82","1","44096668","13317193736","COXWY","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666339","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161044","Brachypodium distachyon Bd1-1 gene expression profiling - 2dpi_Bd1-1_Pgt-7a_3 transcriptome","SRS3761276","","3118.03","1","33885923","10233548746","COXWX","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666338","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161030","Brachypodium distachyon Bd1-1 gene expression profiling - 2dpi_Bd1-1_Mock_2 transcriptome","SRS3761262","","3055.55","1","33449105","10101629710","COXWZ","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666337","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161029","Brachypodium distachyon Bd1-1 gene expression profiling - 14_Bd1-1_PMV+SPMV2 transcriptome","SRS3761261","","4132.59","1","46355155","13999256810","COXYS","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666336","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161028","Brachypodium distachyon Bd1-1 gene expression profiling - 14_dpi_Bd1-1_Mock3 transcriptome","SRS3761260","","5911.8","1","67138084","20275701368","COXYA","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666335","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161027","Brachypodium distachyon Bd1-1 gene expression profiling - 7_Bd1-1_PMV+SPMV3 transcriptome","SRS3761259","","3986.26","1","44855174","13546262548","COXYO","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666334","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161036","Brachypodium distachyon Bd1-1 gene expression profiling - 4dpi_Bd1-1_Mock_1 transcriptome","SRS3761268","","3595.43","1","39760208","12007582816","COXXH","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666333","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161026","Brachypodium distachyon Bd1-1 gene expression profiling - 4dpi_Bd1-1_Mock_2 transcriptome","SRS3761258","","2344.76","1","25487265","7697154030","COXXN","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666332","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161025","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_6w-ver_leaves_1 transcriptome","SRS3761257","","4321.79","1","47112203","14227885306","COXUZ","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666331","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161024","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-root_3 transcriptome","SRS3761256","","3403.79","1","37225026","11241957852","COXUY","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666330","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161023","Brachypodium distachyon Bd1-1 gene expression profiling - 2dpi_Bd1-1_Pgt-7a_2 transcriptome","SRS3761255","","2381.09","1","26065410","7871753820","COXWW","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666329","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161022","Brachypodium distachyon Bd1-1 gene expression profiling - 14_Bd1-1_PMV+SPMV3 transcriptome","SRS3761254","","4720.98","1","52719837","15921390774","COXYT","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666328","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161021","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_ver-ck_4 transcriptome","SRS3761253","","4071.34","1","44791630","13527072260","COXUC","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666327","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161020","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_ver-ck_3 transcriptome","SRS3761252","","2648.56","1","29082961","8783054222","COXUB","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666326","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161019","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-crown_3 transcriptome","SRS3761251","","3431.38","1","37810477","11418764054","COXUP","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666325","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161018","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_6w-ver_leaves_2 transcriptome","SRS3761250","","2886.29","1","31491239","9510354178","COXWA","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666324","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161017","Brachypodium distachyon Bd1-1 gene expression profiling - 7_Bd1-1_PMV+SPMV2 transcriptome","SRS3761249","","5347.55","1","60457525","18258172550","COXYN","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666323","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161016","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_ver-ck_2 transcriptome","SRS3761248","","4045.48","1","44312330","13382323660","COXUA","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666322","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161015","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-leaf_3 transcriptome","SRS3761247","","3167.05","1","34661362","10467731324","COXUG","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666321","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161014","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_mature-root_2 transcriptome","SRS3761246","","2892.25","1","31295626","9451279052","COXWG","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666320","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161013","Brachypodium distachyon Bd1-1 gene expression profiling - 7_Bd1-1_PMV+SPMV1 transcriptome","SRS3761245","","5075.44","1","57469175","17355690850","COXYH","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666319","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161012","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_mature-stem_1 transcriptome","SRS3761244","","2182.36","1","23755078","7174033556","COXWC","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666318","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161010","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_mature-root_1 transcriptome","SRS3761242","","3805.28","1","42236492","12755420584","COXWB","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666317","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161011","Brachypodium distachyon Bd1-1 gene expression profiling - 4dpi_Bd1-1_Pgt-7a_3 transcriptome","SRS3761243","","4330.51","1","47517648","14350329696","COXXG","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666316","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161009","Brachypodium distachyon Bd1-1 gene expression profiling - 7_dpi_Bd1-1_PMV3 transcriptome","SRS3761241","","5704.82","1","64466775","19468966050","COXXX","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666315","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161008","Brachypodium distachyon Bd1-1 gene expression profiling - 4dpi_Bd1-1_Pgt-7a_1 transcriptome","SRS3761240","","2894.87","1","31784670","9598970340","COXXB","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666314","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161006","Brachypodium distachyon Bd1-1 gene expression profiling - 4dpi_Bd1-1_Pgt-7a_2 transcriptome","SRS3761238","","3670.97","1","40094413","12108512726","COXXC","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666313","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161007","Brachypodium distachyon Bd1-1 gene expression profiling - 7_dpi_Bd1-1_Mock1 transcriptome","SRS3761239","","2865.64","1","30817932","9307015464","COXXP","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666312","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161005","Brachypodium distachyon Bd1-1 gene expression profiling - 7_dpi_Bd1-1_Mock2 transcriptome","SRS3761237","","3383.63","1","36519959","11029027618","COXXS","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666311","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161004","Brachypodium distachyon Bd1-1 gene expression profiling - 14_dpi_Bd1-1_Mock1 transcriptome","SRS3761236","","4720.67","1","53638307","16198768714","COXXY","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666310","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161003","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-leaf_1 transcriptome","SRS3761235","","4146.7","1","45254271","13666789842","COXTY","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666309","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161001","Brachypodium distachyon Bd1-1 gene expression profiling - 4dpi_Bd1-1_Mock_3 transcriptome","SRS3761233","","3712.15","1","40558073","12248538046","COXXO","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666308","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161002","Brachypodium distachyon Bd1-1 gene expression profiling - 2dpi_Bd1-1_Mock_3 transcriptome","SRS3761234","","4626.73","1","50542345","15263788190","COXXA","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666307","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161000","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-crown_1 transcriptome","SRS3761232","","3415.48","1","36991600","11171463200","COXUU","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655883","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160223","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_mature-root_3 transcriptome","SRS3753339","","2238.15","1","25298958","7640285316","COGSH","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655882","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160222","Brachypodium distachyon Bd30-1 gene expression profiling - 2dpi_Bd30-1_Mock_1 transcriptome","SRS3753338","","2561.05","1","29351579","8864176858","COGSW","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655881","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160221","Brachypodium distachyon Bd30-1 gene expression profiling - 4dpi_Bd30-1_Pgt-7a _3 transcriptome","SRS3753337","","1881.73","1","21797792","6582933184","COGTB","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655880","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160220","Brachypodium distachyon Bd30-1 gene expression profiling - 2dpi_Bd30-1_Pgt-7a _2 transcriptome","SRS3753336","","2519.65","1","28789010","8694281020","COGST","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655879","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160219","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_6w-ver_leaves_1 transcriptome","SRS3753335","","2964.92","1","33717326","10182632452","COGSO","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655878","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160218","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_ammonium_1 transcriptome","SRS3753334","","728.81","1","8507181","2569168662","COGOY","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655877","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160217","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_heat_2 transcriptome","SRS3753333","","3346.17","1","37960553","11464087006","COGOA","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655876","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160216","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_cold_2 transcriptome","SRS3753332","","2607.36","1","29784334","8994868868","COGNW","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655875","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160215","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_urea_1 transcriptome","SRS3753331","","3505.7","1","40191169","12137733038","COGPH","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655874","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160214","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_ver-ck_4 transcriptome","SRS3753330","","3190.57","1","36551163","11038451226","COGNU","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655873","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160213","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_ver-ck_3 transcriptome","SRS3753329","","2847.68","1","32463408","9803949216","COGNT","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655872","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160224","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_ver-ck_1 transcriptome","SRS3753342","","2714.5","1","30848347","9316200794","COGNP","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655871","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160212","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_ver-ck_2 transcriptome","SRS3753328","","3214.98","1","36863692","11132834984","COGNS","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655870","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160211","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_nitrate_2 transcriptome","SRS3753327","","2769.88","1","31457688","9500221776","COGPB","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655869","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160210","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_ammonium_3 transcriptome","SRS3753326","","3228.09","1","36970690","11165148380","COGPO","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655868","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160209","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_salt_2 transcriptome","SRS3753325","","3279.54","1","37332785","11274501070","COGNZ","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655867","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160207","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_nutrient-ck_1 transcriptome","SRS3753323","","3417.21","1","39264898","11857999196","COGPC","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655866","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160208","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_leaf_3 transcriptome","SRS3753324","","3648.43","1","41598845","12562851190","COGNO","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655865","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160206","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_leaf_2 transcriptome","SRS3753322","","3042.22","1","34465290","10408517580","COGNN","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655864","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160205","Brachypodium distachyon Bd30-1 gene expression profiling - 4dpi_Bd30-1_Mock_3 transcriptome","SRS3753321","","2346.7","1","26500285","8003086070","COGTH","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4655863","Brachypodium distachyon Bd30-1 Gene Atlas Plate 17","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP160204","Brachypodium distachyon Bd30-1 gene expression profiling - Bd30-1_mature-leaf_2 transcriptome","SRS3753320","","2311.49","1","26530659","8012259018","COGPW","OTHER","TRANSCRIPTOMIC","RT-PCR"
