sid	tissue	genotype	treatment	raw_fastq
F03	leaf_2	Mo17	rep3_day10_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F03_3_10_Mo17_Control_4_2_GGAGGT_R1.fastq.gz
F04	leaf_2	B73	rep2_day11_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F04_2_11_B73_Control_4_2_TGGATT_R1.fastq.gz
F05	leaf_2	B73	rep2_day12_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F05_2_12_B73_Cold_4_2_ACCGTG_R1.fastq.gz
F06	leaf_2	B73	rep2_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F06_2_15_B73_Cold_4_2_CTCCAT_R1.fastq.gz
F07	leaf_3	B73	rep2_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F07_2_15_B73_Cold_4_3_AATGAA_R1.fastq.gz
F08	leaf_2	B73	rep3_day9_2pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F08_3_9_B73_Cold_2_2_CAATGC_R1.fastq.gz
F09	leaf_2	B73	rep2_day11_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F09_2_11_B73_Control_11_2_AACCGA_R1.fastq.gz
F10	leaf_2	B73	rep3_day11_12pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F10_3_11_B73_Cold_12_2_GCCACA_R1.fastq.gz
F11	leaf_2	Mo17	rep3_day12_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F11_3_12_Mo17_Control_4_2_CCGACC_R1.fastq.gz
F12	leaf_2	Mo17	rep3_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F12_3_15_Mo17_Cold_4_2_AGAATC_R1.fastq.gz
G01	leaf_2	Mo17	rep1_day9_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G01_1_9_Mo17_Control_4_2_CTAGTC_R1.fastq.gz
G02	leaf_2	Mo17	rep1_day10_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G02_1_10_Mo17_Cold_4_2_GGCTGC_R1.fastq.gz
G03	leaf_2	B73	rep3_day10_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G03_3_10_B73_Cold_4_2_CACACT_R1.fastq.gz
G04	leaf_2	Mo17	rep1_day11_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G04_1_11_M017_Control_4_2_ACCTAC_R1.fastq.gz
G05	leaf_2	Mo17	rep1_day12_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G05_1_12_Mo17_Cold_4_2_CAACAG_R1.fastq.gz
G06	leaf_2	Mo17	rep1_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G06_1_15_Mo17_Cold_4_2_GCATGG_R1.fastq.gz
G07	leaf_7	Mo17	rep1_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G07_1_15_Mo17_Cold_4_3_ACAACG_R1.fastq.gz
G08	leaf_2	B73	rep3_day9_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G08_3_9_B73_Control_4_2_ACGTCT_R1.fastq.gz
G09	leaf_2	Mo17	rep1_day11_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G09_1_11_Mo17_Control_11_2_CAGATG_R1.fastq.gz
G10	leaf_2	B73	rep3_day11_2pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G10_3_11_B73_Control_2_2_CATCTA_R1.fastq.gz
G11	leaf_2	B73	rep3_day12_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_G11_3_12_B73_Cold_4_2_GGCCAA_R1.fastq.gz
H01	leaf_2	Mo17	rep2_day9_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H01_2_9_Mo17_Control_4_2_TGTGCA_R1.fastq.gz
H02	leaf_2	Mo17	rep2_day10_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H02_2_10_Mo17_Cold_4_2_TACCTT_R1.fastq.gz
H03	leaf_2	Mo17	rep3_day10_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H03_3_10_Mo17_Cold_4_2_CCGCAA_R1.fastq.gz
H04	leaf_2	Mo17	rep2_day11_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H04_2_11_Mo17_Control_4_2_CGAAGG_R1.fastq.gz
H05	leaf_2	Mo17	rep2_day12_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H05_2_12_Mo17_Cold_4_2_GATTGT_R1.fastq.gz
H06	leaf_2	Mo17	rep2_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H06_2_15_Mo17_Cold_4_2_AATAGC_R1.fastq.gz
H07	leaf_3	Mo17	rep2_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H07_2_15_Mo17_Cold_4_3_ATATCC_R1.fastq.gz
H08	leaf_2	Mo17	rep3_day9_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H08_3_9_Mo17_Control_4_2_CAGGAC_R1.fastq.gz
H09	leaf_2	Mo17	rep2_day11_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H09_2_11_Mo17_Control_11_2_GTAGAA_R1.fastq.gz
H10	leaf_2	B73	rep3_day11_2pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H10_3_11_B73_Cold_2_2_AACAAG_R1.fastq.gz
H11	leaf_2	Mo17	rep3_day12_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_H11_3_12_Mo17_Cold_4_2_AGACCA_R1.fastq.gz
