SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
BR011	auricle_v12	B73	NA	2	8756804	8681487	67825	5965	1527	8681487	0	0	7500645	7073119	5224719	5566818	764332	698286	486832	532636	416510	73790	0	0	63116	57299	45841	50637	10674	6864003	1706689	811746	56080	416510
BR012	auricle_v12	B73	NA	3	9205753	9115520	80662	7412	2159	9115520	0	0	7967188	7544256	5527326	5864250	842463	773629	546928	595668	305869	88074	0	0	76691	69820	55467	61095	11383	7450251	1698333	715733	103099	305869
BR013	auricle_v12	Mo17	NA	1	12629990	12534713	81900	8846	4531	12534713	0	0	9927160	8963669	8487321	9396545	197605	172524	156920	179991	2409948	90746	0	0	68736	59446	54409	62900	22010	7805153	3460277	1213100	81781	2409948
BR014	auricle_v12	Mo17	NA	2	12106840	12015331	80521	7799	3189	12015331	0	0	11582397	10800569	10251171	10993646	155033	138056	124408	139650	277901	88320	0	0	82279	73922	67674	75340	6041	9370376	2846897	1377402	141658	277901
BR015	auricle_v12	Mo17	NA	3	12789833	12688046	89616	8395	3776	12688046	0	0	12317328	11501018	10901883	11675996	153790	137355	123313	138055	216928	98011	0	0	91633	82758	76062	84258	6378	10136873	2840798	1435739	50647	216928
BR016	auricle_v12	B73xMo17	NA	1	13001085	12894656	93726	8559	4144	12894656	0	0	11921482	11203533	9526537	10154862	666196	607054	437212	479985	306978	102285	0	0	92517	83690	72191	79885	9768	10326839	2700713	1281880	143984	306978
BR017	auricle_v12	B73xMo17	NA	2	10302708	10221028	71676	7323	2681	10221028	0	0	9416173	8857897	7512712	8000855	545491	494180	359872	397519	259364	78999	0	0	70436	63757	54554	60350	8563	8031735	2241553	1020979	218397	259364
BR018	auricle_v12	B73xMo17	NA	3	10717426	10612110	92699	8663	3954	10612110	0	0	9580562	9046407	7639421	8106152	639922	585895	434115	474704	391626	101362	0	0	86778	78551	67792	74995	14584	8097901	2296545	1027514	382379	391626
BR019	sheath_v12	B73	NA	1	11363325	11252448	97515	8550	4812	11252448	0	0	9725767	9152355	6751402	7207719	1041536	952284	655316	716990	485145	106065	0	0	89697	81022	64799	71962	16368	8752250	2312542	1153474	131806	485145
BR020	sheath_v12	B73	NA	2	11653190	11560292	80024	8519	4355	11560292	0	0	9996052	9392002	6942544	7425228	1059071	969829	661750	723262	505169	88543	0	0	75259	68224	54129	59869	13284	8998097	2390090	1212356	94629	505169
BR021	sheath_v12	B73	NA	3	10397926	10313536	73737	7811	2842	10313536	0	0	8888689	8320859	6138316	6595396	943454	861868	592054	648218	481393	81548	0	0	68931	62089	49293	54927	12617	7994782	2222118	1089670	54210	481393
BR022	sheath_v12	Mo17	NA	1	10300996	10223999	66661	8090	2246	10223999	0	0	9898877	9196159	8674569	9337423	136921	120957	106774	121060	188201	74751	0	0	69289	62203	56024	62398	5462	7992201	2532687	1188654	101117	188201
BR023	sheath_v12	Mo17	NA	2	10610559	10504881	94087	9319	2272	10504881	0	0	10182147	9466790	8906925	9580454	169209	149781	133560	151090	153525	103406	0	0	95437	85599	77952	86940	7969	8131732	2663628	1272031	156922	153525
BR024	sheath_v12	Mo17	NA	3	10818591	10732498	75595	8463	2035	10732498	0	0	10407408	9686097	9139366	9819981	154517	137168	121865	137437	170573	84058	0	0	78386	70295	63476	70836	5672	8403552	2647784	1219542	148783	170573
BR025	sheath_v12	B73xMo17	NA	1	10460515	10317769	121046	15565	6135	10317769	0	0	8538424	7901933	6706811	7280135	653799	606408	433185	468160	1125546	136611	0	0	94176	82112	70574	81561	42435	7348082	2402314	1090544	45854	1125546
BR026	sheath_v12	B73xMo17	NA	2	13454079	13205917	224098	17188	6876	13205917	0	0	11479800	10769657	9165417	9791194	702650	640837	464998	510482	1023467	241286	0	0	149233	133254	116164	130364	92053	9854695	2676944	1372694	129115	1023467
BR027	sheath_v12	B73xMo17	NA	3	10947765	10796345	128545	16726	6149	10796345	0	0	9599586	8908656	7569600	8188605	693634	632281	462780	509113	503125	145271	0	0	111763	97481	84095	96965	33508	8009896	2801211	1220412	219650	503125
BR028	internode_v12	B73	NA	1	11704246	11566394	118139	14762	4951	11566394	0	0	9911314	9410414	6936980	7337745	1101422	1008928	715975	781786	553658	132901	0	0	106983	95442	76232	86054	25918	8742373	2260838	1141452	391713	553658
BR032	internode_v12	Mo17	NA	1	18897584	18677705	191523	21328	7028	18677705	0	0	17867543	16891260	16079212	17009878	259486	234596	207403	229631	550676	212851	0	0	185529	167308	153860	170806	27322	14540605	3416121	2269192	242605	550676
BR030	internode_v12	B73	NA	2	11511692	11382708	110926	14120	3938	11382708	0	0	9687277	9153007	6718086	7143788	1114184	1019594	707841	772515	581247	125046	0	0	100318	89544	70871	79929	24728	8617637	2191482	1334326	145117	581247
BR031	internode_v12	Mo17	NA	2	11675275	11554947	100248	15143	4937	11554947	0	0	11146199	10582011	10082916	10621505	159371	144529	126844	139999	249377	115391	0	0	100106	89747	81487	91104	15285	9196708	1934546	1330908	154516	249377
BR029	internode_v12	B73	NA	3	7280863	7207320	62577	8308	2658	7207320	0	0	6023910	5687385	4195253	4465301	674084	617530	428514	467394	509326	70885	0	0	54821	49123	39099	43844	16064	5375324	1354245	816195	72185	509326
BR033	internode_v12	Mo17	NA	3	11763511	11618868	119649	18213	6781	11618868	0	0	11151211	10599661	10092582	10618839	191290	174203	152280	167531	276367	137862	0	0	114251	101898	92894	104446	23611	9118906	1981900	1359182	229767	276367
BR034	internode_v12	B73xMo17	NA	1	11446013	11309805	115489	15554	5165	11309805	0	0	10327282	9819232	8324626	8770851	664013	610474	449524	489296	318510	131043	0	0	109529	97813	83235	93671	21514	8809876	2035950	1193204	322318	318510
BR035	internode_v12	B73xMo17	NA	2	10813338	10680875	108313	17785	6365	10680875	0	0	9623337	9122154	7740500	8181430	647945	593154	437555	478631	409593	126098	0	0	100120	87175	73870	85586	25978	8162790	2010364	1187237	270044	409593
BR036	internode_v12	B73xMo17	NA	3	12185937	12056501	110428	14427	4581	12056501	0	0	10999448	10426438	8855872	9359966	663809	610246	442691	481666	393244	124855	0	0	105248	93998	80226	90124	19607	9474439	2136602	1311589	183201	393244
BR037	tassel_v12	B73	NA	1	11869598	11767998	90126	8206	3268	11767998	0	0	9615390	9079758	6720560	7147120	1003265	915745	638681	700049	1149343	98332	0	0	77327	69763	55730	61916	21005	8672669	2164054	1069717	173395	1149343
BR038	tassel_v12	B73	NA	2	13057367	12963185	80775	8732	4675	12963185	0	0	9844077	9270363	6893109	7355475	982150	898457	626440	684942	2136958	89507	0	0	64655	58224	46257	51486	24852	8930898	2201629	1067687	111094	2136958
BR039	tassel_v12	B73	NA	3	11971434	11876376	82958	8815	3285	11876376	0	0	9711895	9182830	6798584	7221809	938972	859759	593543	648550	1225509	91773	0	0	72071	65198	51910	57584	19702	8914826	2007099	1001800	78210	1225509
BR040	tassel_v12	Mo17	NA	1	10198649	10119317	68913	7756	2663	10119317	0	0	8836528	8364199	7949259	8398440	143714	130227	119497	131572	1139075	76669	0	0	63311	57957	52776	57651	13358	7459819	1592095	932308	80137	1139075
BR041	tassel_v12	Mo17	NA	2	9541534	9458818	72756	7164	2796	9458818	0	0	9035636	8566856	8108127	8552379	148067	134065	122028	134518	275115	79920	0	0	72853	66148	60467	66604	7067	7581146	1606960	936534	143542	275115
BR042	tassel_v12	Mo17	NA	3	12122651	12028360	81552	8485	4254	12028360	0	0	9848281	9282678	8813960	9351107	169752	153019	140861	155992	2010327	90037	0	0	69751	63320	58011	63878	20286	8240846	1903532	1113011	63166	2010327
BR043	tassel_v12	B73xMo17	NA	1	11577660	11490867	74525	7759	4509	11490867	0	0	10267961	9733669	8278247	8744908	585159	534602	381538	418074	637747	82284	0	0	70958	64823	55668	60989	11326	8938427	1978059	1178593	106412	637747
BR044	tassel_v12	B73xMo17	NA	2	9209055	9080007	119045	7681	2322	9080007	0	0	7596334	7187238	6084140	6440597	494946	449053	334613	369047	988727	126726	0	0	97559	88490	77844	85971	29167	6646009	1546921	860158	91832	988727
BR045	tassel_v12	B73xMo17	NA	3	11345207	11254362	79849	7972	3024	11254362	0	0	10074188	9572642	8150430	8589142	573531	526613	380607	415017	606643	87821	0	0	76320	69763	59878	65588	11501	8869757	1834199	1067513	117272	606643
BR046	ear_v14	B73	NA	1	10279754	10201193	68840	7247	2474	10201193	0	0	7446010	7024037	5255414	5595750	737368	664424	473504	525214	2017815	76087	0	0	51635	46297	36955	41316	24452	6659661	1752908	813855	144745	2017815
BR047	ear_v14	B73	NA	2	10892889	10799410	82720	7781	2978	10799410	0	0	9050324	8548414	6360034	6762129	891558	807369	562431	621412	857528	90501	0	0	72715	65436	52793	58847	17786	8019739	2124672	1019276	219921	857528
BR048	ear_v14	B73	NA	3	10423251	10340695	71878	8051	2627	10340695	0	0	8557417	8097162	6027679	6396868	854528	774368	548881	605382	928750	79929	0	0	62958	56661	45164	50363	16971	7631196	1977640	883952	253049	928750
BR049	ear_v14	Mo17	NA	1	11158750	11087463	61560	7243	2484	11087463	0	0	10790646	10211422	9711494	10263106	128222	115782	103129	113706	168595	68803	0	0	64225	58515	53185	58372	4578	9092946	1903477	1157315	60653	168595
BR050	ear_v14	Mo17	NA	2	10615140	10544171	62119	6779	2071	10544171	0	0	10255919	9702068	9216795	9743709	121795	109853	97299	107456	166457	68898	0	0	64255	58743	53365	58369	4643	8521146	1837170	1217166	57630	166457
BR051	ear_v14	Mo17	NA	3	10130338	10058913	62752	6566	2107	10058913	0	0	9794687	9271771	8816398	9314500	122597	110438	98479	108842	141629	69318	0	0	65045	59206	54015	59349	4273	8279209	1748236	994859	84604	141629
BR052	ear_v14	B73xMo17	NA	1	9779316	9705723	64039	7269	2285	9705723	0	0	8986037	8518500	7249642	7660337	483001	439259	319543	351298	236685	71308	0	0	62445	56540	48101	53227	8863	7727658	1847473	881361	260280	236685
BR053	ear_v14	B73xMo17	NA	2	10765471	10691005	64955	6770	2741	10691005	0	0	9906636	9372272	7981263	8451285	498603	453577	321435	352901	285766	71725	0	0	64136	58275	49674	54693	7589	8386491	0	10833823	3437	1077724
BR054	ear_v14	B73xMo17	NA	3	10866113	10786414	68930	7668	3101	10786414	0	0	9992442	9466314	8065888	8528969	527897	480746	348196	382117	266075	76598	0	0	66937	60598	51766	57280	9661	8562035	2054260	1025589	267648	266075
BR055	silk_0DAP	B73	NA	1	10460214	10354824	93925	7896	3569	10354824	0	0	8874853	8389392	6113916	6486152	1034217	946463	656976	716948	445754	101821	0	0	85890	77819	61278	67787	15931	8006769	1995924	1080172	171406	445754
BR056	silk_0DAP	B73	NA	2	10094098	10015873	67618	7482	3125	10015873	0	0	8142045	7687451	5625725	5979533	923698	846067	587480	640842	950130	75100	0	0	58962	53465	41522	45956	16138	7369837	1812164	974124	128729	950130
BR057	silk_0DAP	B73	NA	3	9351362	9259488	80935	8013	2926	9259488	0	0	7939111	7502495	5476558	5813027	930059	849899	589653	644885	390318	88948	0	0	74618	67306	52784	58820	14330	7113387	1820163	1002130	162594	390318
BR058	silk_0DAP	Mo17	NA	1	9154814	9077113	67152	7755	2794	9077113	0	0	8558616	8096821	7668464	8106946	144487	130791	119393	131609	374010	74907	0	0	67771	62101	56018	61138	7136	7028066	1600749	958899	186779	374010
BR059	silk_0DAP	Mo17	NA	2	9271623	9184908	76688	7174	2853	9184908	0	0	8820719	8344245	7888289	8339703	139461	126214	114611	126358	224728	83862	0	0	77604	71025	64701	70713	6258	7239225	1600641	1067417	126493	224728
BR060	silk_0DAP	Mo17	NA	3	8610999	8539340	62483	6719	2457	8539340	0	0	8246813	7784754	7364139	7802396	127767	115399	104281	115166	164760	69202	0	0	63789	58010	52500	57748	5413	6633576	1609722	1066998	151691	164760
BR061	silk_0DAP	B73xMo17	NA	1	12378233	12274018	90846	9314	4055	12274018	0	0	11017812	10424231	8793539	9302934	661559	608432	432558	469798	594647	100160	0	0	88745	81321	68856	75150	11415	9706210	2020125	1253449	47695	594647
BR062	silk_0DAP	B73xMo17	NA	2	11117019	10918321	184432	9848	4418	10918321	0	0	9710917	9199922	7734204	8172734	653669	597016	439515	480785	553735	194280	0	0	151018	137497	120451	132424	43262	8566960	1864846	1067379	118254	553735
BR063	silk_0DAP	B73xMo17	NA	3	12831768	12714257	102459	9872	5180	12714257	0	0	11545382	10933822	9229745	9756660	680236	622580	452506	493868	488639	112331	0	0	99855	91055	77398	84961	12476	10136134	2189165	1181146	176535	488639
BR064	spikelets_0DAP	B73	NA	1	12862409	12756383	93290	8805	3931	12756383	0	0	11024106	10418091	7675755	8150393	1116861	1014576	688524	757605	615416	102095	0	0	87045	78847	62375	69074	15050	9890705	2404873	1326781	138452	615416
BR065	spikelets_0DAP	B73	NA	2	13140565	13016984	109675	9740	4166	13016984	0	0	11276922	10684601	7843837	8307309	1191090	1088057	747801	818626	548972	119415	0	0	102338	92740	73678	81485	17077	10241695	2373731	1261502	182775	548972
BR066	spikelets_0DAP	B73	NA	3	12366130	12261404	91623	9597	3506	12261404	0	0	10649228	10079836	7406387	7852330	1120645	1020835	700396	768792	491531	101220	0	0	86780	78421	61625	68412	14440	9543718	2338132	1246640	212274	491531
BR067	spikelets_0DAP	Mo17	NA	1	12302995	12214346	76434	8686	3529	12214346	0	0	11750487	11115986	10529541	11131670	144970	130635	117526	129940	318889	85120	0	0	79115	72214	65553	71824	6005	9698101	2096985	1464557	65189	318889
BR068	spikelets_0DAP	Mo17	NA	2	12364997	12266006	86494	9068	3429	12266006	0	0	11608913	11014022	10431516	10996262	159132	143959	129849	143084	497961	95562	0	0	87318	79975	72467	79157	8244	9777267	1961596	1247422	104570	497961
BR069	spikelets_0DAP	Mo17	NA	3	12363396	12261701	89091	8953	3651	12261701	0	0	11803232	11182264	10589024	11178256	166832	150518	136168	150433	291637	98044	0	0	91032	82974	75647	82970	7012	9832829	2119492	1295382	158562	291637
BR070	spikelets_0DAP	B73xMo17	NA	1	10329056	10246209	73183	7339	2325	10246209	0	0	9328554	8845547	7475616	7896174	544474	496559	357438	391871	373181	80522	0	0	71303	64990	54784	60223	9219	8113896	1834176	1015555	154205	373181
BR071	spikelets_0DAP	B73xMo17	NA	2	12278485	12184457	82093	8651	3284	12184457	0	0	11136045	10566056	8937240	9434102	644251	589944	417218	455691	404161	90744	0	0	80640	73676	62410	68348	10104	9726383	2089499	1253366	125205	404161
BR072	spikelets_0DAP	B73xMo17	NA	3	12426693	12323355	90284	9332	3722	12323355	0	0	11291628	10711600	9075820	9582810	620400	567667	408599	446664	411327	99616	0	0	88744	80777	68621	75519	10872	9875756	2159573	1146030	190341	411327
BR073	husk_0DAP	B73	NA	1	12468897	12338745	116836	9866	3450	12338745	0	0	10618172	10031925	7381499	7833252	1191235	1084e3	760368	834459	529338	126702	0	0	108420	97858	78295	86976	18282	9578580	2432222	1232127	211241	529338
BR074	husk_0DAP	B73	NA	2	11486069	11389989	83606	9313	3161	11389989	0	0	9781131	9259285	6836674	7241155	1072677	980145	693942	758172	536181	92919	0	0	78231	70476	55957	62262	14688	8867991	2143125	1039170	237518	536181
BR075	husk_0DAP	B73	NA	3	11705643	11598042	95542	9595	2464	11598042	0	0	9965789	9407796	6936626	7369325	1084186	989140	692802	758228	548067	105137	0	0	89410	80771	64283	71307	15727	9088483	2224422	1123481	120686	548067
BR076	husk_0DAP	Mo17	NA	1	12818182	12713872	91361	9785	3164	12713872	0	0	11893270	11148010	10539447	11243554	164980	147993	132688	147735	655622	101146	0	0	91685	82866	75063	83003	9461	10032096	2441350	1113733	114690	655622
BR077	husk_0DAP	Mo17	NA	2	12761502	12635684	112066	10382	3370	12635684	0	0	12160671	11394792	10755302	11475972	167014	150013	134741	149810	307999	122448	0	0	114272	103463	94267	104126	8176	10279383	2542789	1131981	102794	307999
BR078	husk_0DAP	Mo17	NA	3	12826901	12717414	96100	9764	3623	12717414	0	0	12222222	11425566	10819991	11573035	166473	148972	134333	149919	328719	105864	0	0	98740	88827	80697	89708	7124	10164184	2681162	1212897	149063	328719
BR079	husk_0DAP	B73xMo17	NA	1	12503981	12395438	95703	9831	3009	12395438	0	0	11305434	10672830	9037013	9580277	650977	592908	427443	468300	439027	105534	0	0	94809	86223	73656	81009	10725	9951918	2231246	1177164	95003	439027
BR080	husk_0DAP	B73xMo17	NA	2	11607643	11406667	187359	10716	2901	11406667	0	0	10285304	9700823	8196989	8699416	671698	606951	452717	500363	449665	198075	0	0	169125	152451	134441	149206	28950	8971896	2181028	1143158	137289	449665
BR081	husk_0DAP	B73xMo17	NA	3	13790861	13666823	109748	10866	3424	13666823	0	0	12536914	11862610	10038431	10614959	683280	623248	448145	490164	446629	120614	0	0	109115	99086	84351	92916	11499	11222487	2273765	1178646	56521	446629
BR082	tasselstem_0DAP	B73	NA	1	12451564	12349251	90499	8925	2889	12349251	0	0	10437445	9867094	7240759	7685961	1271750	1163013	792299	868488	640056	99424	0	0	83352	75865	60214	66300	16072	9387902	2380860	1450276	120917	640056
BR083	tasselstem_0DAP	B73	NA	2	12221050	12112847	96612	9305	2286	12112847	0	0	10168168	9640420	7025179	7436781	1343541	1234609	840784	916909	601138	105917	0	0	88284	80401	63532	69950	17633	9134902	2287652	1518988	142499	601138
BR084	tasselstem_0DAP	B73	NA	3	11567848	11471842	84384	9330	2292	11471842	0	0	9061551	8538416	6217426	6629218	1318983	1212875	829382	905213	1091308	93714	0	0	72281	65538	51348	56865	21433	8202636	2236195	1339179	137106	1091308
BR085	tasselstem_0DAP	Mo17	NA	1	9540165	9463815	65389	7832	3129	9463815	0	0	8888806	8451602	7979606	8393479	144418	130326	119109	131745	430591	73221	0	0	65611	60069	54274	59292	7610	7222746	1589226	1125726	180913	430591
BR086	tasselstem_0DAP	Mo17	NA	2	9089631	9011444	68215	7446	2526	9011444	0	0	8694535	8269368	7809179	8211424	120885	108692	98415	109131	196024	75661	0	0	70295	64364	58319	63715	5366	7145857	1506652	1051963	139690	196024
BR087	tasselstem_0DAP	Mo17	NA	3	9244929	9157904	76298	7990	2737	9157904	0	0	8799562	8393868	7917499	8301059	116368	104888	94485	104514	241974	84288	0	0	78247	71925	65389	71162	6041	7412854	1375652	969346	91764	241974
BR088	tasselstem_0DAP	B73xMo17	NA	1	8876713	8797378	69855	7096	2384	8797378	0	0	7922468	7480349	6316622	6699724	513082	465792	333149	368506	361828	76951	0	0	68115	61820	52687	58143	8836	6786796	1707763	996198	116386	361828
BR089	tasselstem_0DAP	B73xMo17	NA	2	9021520	8943627	67921	7279	2693	8943627	0	0	8054661	7606849	6421734	6809151	527407	478245	343882	380807	361559	75200	0	0	65390	59316	50287	55505	9810	6882127	1760218	988605	156143	361559
BR090	tasselstem_0DAP	B73xMo17	NA	3	9072250	8993652	69024	6953	2621	8993652	0	0	7999760	7545360	6376255	6770451	538457	488025	352480	390571	455435	75977	0	0	65280	59023	50306	55720	10697	6763921	1820114	1030255	173258	455435
BR091	floret_0DAP	B73	NA	1	10046688	9917126	115716	10742	3104	9917126	0	0	8527769	7861073	5777224	6322136	904423	810897	560907	629131	484934	126458	0	0	108066	94716	75017	86245	18392	7361043	3175875	1081279	154571	484934
BR092	floret_0DAP	B73	NA	2	10344979	10247053	84651	10405	2870	10247053	0	0	8716967	8022005	5880663	6448517	924083	827959	569584	639094	606003	95056	0	0	80482	70393	54579	62958	14574	7542581	3295246	1089609	144267	606003
BR093	floret_0DAP	B73	NA	3	9586452	9469113	103026	10989	3324	9469113	0	0	8103281	7484214	5491584	5998287	895017	802223	559805	628467	470815	114015	0	0	95866	84072	66219	75999	18149	6913497	3096217	1002778	256020	470815
BR094	floret_0DAP	Mo17	NA	1	9591540	9496979	82098	10336	2127	9496979	0	0	9117488	8403517	7807123	8468706	130622	113633	100167	115201	248869	92434	0	0	85354	75687	66993	75520	7080	7194046	2987396	1243003	57756	248869
BR095	floret_0DAP	Mo17	NA	2	10171616	10050093	107041	11616	2866	10050093	0	0	9712136	8985532	8352417	9027074	151390	131764	116057	133775	186567	118657	0	0	109569	97863	87643	98180	9088	7548957	3107252	1439400	93437	186567
BR096	floret_0DAP	Mo17	NA	3	8968665	8870021	86427	9727	2490	8870021	0	0	8613238	7979629	7415770	8003747	136690	120148	105763	120449	120093	96154	0	0	90659	80535	71615	80640	5495	6917478	2730111	992124	140129	120093
BR097	floret_0DAP	B73xMo17	NA	1	8971648	8871487	87265	10165	2731	8871487	0	0	8155752	7609788	6387514	6862921	504263	453902	332454	370934	211472	97430	0	0	88090	78418	66093	74396	9340	6765392	2447313	972020	237751	211472
BR098	floret_0DAP	B73xMo17	NA	2	9125085	8871603	238587	11782	3113	8871603	0	0	7894845	7360080	6126150	6588228	601302	541818	405803	451962	375456	250369	0	0	202430	181166	159044	178030	47939	6651076	2370427	1028938	158259	375456
BR099	floret_0DAP	B73xMo17	NA	3	10114073	10000848	99049	11020	3156	10000848	0	0	8995987	8359485	7012079	7566532	559641	504477	363118	404636	445220	110069	0	0	97487	86744	73385	82675	12582	7485991	2706717	1182294	138828	445220
BR118	kernel_14DAP	B73	NA	1	10936328	10843315	80873	9375	2765	10843315	0	0	9516012	8392833	6208855	7174196	779692	694886	483069	544206	547611	90248	0	0	76589	65425	51280	60646	13659	8119003	4296903	738757	149432	547611
BR119	kernel_14DAP	B73	NA	2	11056044	10956542	87277	9528	2697	10956542	0	0	9740148	8666694	6396201	7309091	809685	723918	500648	562220	406709	96805	0	0	83967	72378	56706	66389	12838	8393597	4048839	793495	131021	406709
BR120	kernel_14DAP	B73	NA	3	10542981	10452024	78936	9278	2743	10452024	0	0	9056913	7999919	5885854	6789806	770437	688566	475987	534935	624674	88214	0	0	73907	63315	49181	57991	14307	7789844	3979347	734350	104717	624674
BR121	kernel_14DAP	Mo17	NA	1	13288857	13186732	86704	11582	3839	13186732	0	0	12640467	11076808	10403224	11875792	169603	144517	128021	149620	376662	98286	0	0	90662	76797	68569	80866	7624	10111873	5200785	1020374	65720	376662
BR122	kernel_14DAP	Mo17	NA	2	13244937	13134240	94931	11838	3928	13134240	0	0	12642736	11158590	10472528	11869134	178381	152284	135252	157647	313123	106769	0	0	99183	84020	75153	88589	7586	10154836	4914886	1016610	100615	313123
BR123	kernel_14DAP	Mo17	NA	3	11612393	11504790	93474	11039	3090	11504790	0	0	10668541	9376802	8781701	9994895	181652	154309	137930	161631	654597	104513	0	0	92404	77683	69623	82752	12109	8574149	4317271	792712	116702	654597
BR124	kernel_14DAP	B73xMo17	NA	1	12287598	12188660	84798	10932	3208	12188660	0	0	11122746	9013398	7281250	9186513	612740	534225	370463	428386	453174	95730	0	0	83729	68036	55158	68594	12001	8618005	7713006	735878	136415	453174
BR125	kernel_14DAP	B73xMo17	NA	2	11390752	11303494	74866	9763	2629	11303494	0	0	10301653	8417543	6808113	8508808	568362	495385	347383	401512	433479	84629	0	0	74228	60322	48828	60693	10401	8035015	6963122	655451	151739	433479
BR126	kernel_14DAP	B73xMo17	NA	3	10802003	10718433	71932	9030	2608	10718433	0	0	9741933	8042335	6476449	8001383	545824	477215	330959	381219	430676	80962	0	0	70866	58443	47537	58105	10096	7663076	6240703	681317	121569	430676
BR127	kernel_14DAP	Mo17xB73	NA	1	11034849	10942002	79947	10086	2814	10942002	0	0	10213594	8596145	7576556	9071664	343877	293879	224119	263727	384531	90033	0	0	80870	66013	56771	69779	9163	7920077	5829055	724941	162885	384531
BR128	kernel_14DAP	Mo17xB73	NA	2	12256591	12098686	142174	10295	5436	12098686	0	0	11059396	9206857	8103459	9813433	414210	349947	271267	323597	625080	152469	0	0	130029	104770	93444	116483	22440	8509183	6717928	798291	167919	625080
BR129	kernel_14DAP	Mo17xB73	NA	3	12056059	11952150	88903	11371	3635	11952150	0	0	11277071	9712232	8543657	9985375	364089	316581	238879	276054	310990	100274	0	0	91266	76261	65231	78311	9008	9045078	5459770	829183	107266	310990
BR100	flagleaf_0DAP	B73	NA	1	8870907	8779729	82075	6982	2121	8779729	0	0	7539463	7048499	5155650	5539844	832194	751836	526189	584026	408072	89057	0	0	75986	67778	54380	61149	13071	6858784	2012301	740191	140265	408072
BR101	flagleaf_0DAP	B73	NA	2	8927886	8852968	66495	6569	1854	8852968	0	0	7706600	7253598	5329345	5678521	817694	737794	514699	571596	328674	73064	0	0	63453	57055	45507	50698	9611	6976412	1918729	789996	157310	328674
BR102	flagleaf_0DAP	B73	NA	3	9310919	9227730	73776	7244	2169	9227730	0	0	8055288	7590103	5555996	5908766	839982	757089	530069	589089	332460	81020	0	0	70490	63450	50489	56180	10530	7451101	1869992	755497	94545	332460
